Question,A,B,C,D,Explanation,Answer
"A child with Acute Myelogenous Leukemia presents with Hyperleukocytosis. Treatment includes all of the following, except:",IV fluids,Allopurinol,Alkalinization,Immediately sta induction chemotherapy,"Immediate treatment of Hyperleukocytosis is leukocyte reduction which is generally achieved by Leukopharesis or administration of Hydroxyurea. Ref: Harrison's Manual of Oncology, 1st Edition, Page 207; Treatment of Acute Leukemias By Ching-Hon Pui, 1st Edition, 259; Hematology-Oncology Therapy, 1st Edition, Page 220; Oncologic Emergencies By Sai-Ching Jim Yeung, Carmen P. Escalante, Page 348",D
"A Child ,Tells a story by the age of ______",24 months,36 months,48 months,60 months,"Emerging patterns for language behaviour from 1-5years of age 15months Jargon Follows simple commands May name a familiar object (e.g., ball) Responds to his/her name 18months 10 words (average) Names pictures Identifies 1 or more pas of the body 24months Puts 3 words together (subject, verb, object) 30months Refers to self by the pronoun ""I"" Knows full name 36months Knows age and sex Counts 3 objects correctly Repeats 3 numbers or a sentence of 6 syllables Most of the speech intelligible to strangers 48months Counts 4 pennies accurately Tells story 60months Names 4 colours Repeats sentence of 10 syllables Counts 10 pennies correctly Ref: Nelson paediatrics; Table 11-1",C
"In which disease a generalized papular rash, fever, conjunctivitis & lesion on buccal mucosa shown below are seen?",Mumps,Measles,Chickenpox,Rubella,"b. MeaslesA red lesion with a whitish spot on buccal mucosa, suggestive of Koplik's spot, along with a papular rash, fever & conjunctivitis, suggest a diagnosis of Measles",B
The clotting factor which is not increased in pregnancy :,Factor 2,Factor 7,Factor 10,Factor 11,"Pregnancy is a hypercoagulable state. Fibrinogen level is raised. There is increase in activities of clotting factors like X, IX, VIII, VII and I. The levels of II, V and XII are either unchanged or mildly increased. The level of factors XI and XIII are slightly decreased.The clotting time does not show any significant change. These are all effective to control blood loss and hemostasis after the separation of placenta.Levels of coagulation factors normalize 2 weeks postpaum. Reference: Dutta's Textbook of Obstetrics 7th edition page 52",D
Which of the following is not a component of young's syndrome,Bronchiectasis,Sinusitis,Situs inversus,Obstructive azoospermia,"Components of Young's syndrome:
Bronchiectasis
Sinusitis
Obstructive azoospermia.",C
Most common cause of hydrocephalus in children is –,Post inflammatory obstruction,Buddchiary syndrome,Brain tumour,Perinatal injury,"Answer of this question is none because :-


MC cause of obstructive (non-communicating) hydrocephalus --> aqueductal stenosis.


MC cause of non-obstructive (communicating) hydrocephalus subarachanoid hemorrhage.
But, amongst the given options best answer is option 'a'.

""A common cause of acquired hydrocepahalus, is post inflammatory obstruction. Bacterial and tuberculous meningitis have a propensity to produce thick tenacious exudate that obstructs the basal cisterns "".",A
Non contraceptive benefits of OC pills may be seen in all of the following conditions except:,Ca endometrium,Ca breasts,Rheumatoid ahritis,Endometriosis,"OCPills ( progesterone component) cause a small increase in risk of breast cancer in a high-risk woman. Risk of malignancy completely reverses after 10 years of stoppage Non contraceptive benefits of use of oral contraceptives Menstrual disturbances: irregularity, dysmenorrhea, menorrhagia, ovulation pain Cancers: protective for endometrial and ovarian cancers and choriocarcinoma Benign tumors: benign breast disease, ovarian cysts Endometriosis Acne Hirsutism Rheumatoid ahritis Anemia and malnutrition: by preventing pregnancy and decreasing menorrhagia Osteoporosis",B
Acceptable ontraceptive for lactating mother are all except :,Barrier method,Combined OCP,Lactational amenorrhoea,Progesterone only pill,In breastfeeding women the POP has no adverse effect on the volume or composition of milk. TEXTBOOK OF GYNECOLOGY SHEILA BALAKRISHNAN SECOND EDITION PAGE NO 370,B
Pain in Endometriosis is due to all except,Inflammatory cytokines,Focal bleeding from endometriotic implants,Infiltration of nerves in pelvic floor,Retroversion of uterus,All except retroverted uterus are most common causes of dysmenorrhea in endometriosis.,D
"A term large-for-gestational age newborn infant was born 50 hours ago by cesarean section to a 26-year-old primigravida mother with insulin-dependent gestational diabetes. The infant's initial glucose was 25 mg/dL, but after feeding subsequent glucoses have all been above 60 mg/dL. The infant is now diaphoretic and irritable, and seems to have some twitching and tremors of the extremities. The most likely cause of this infant's problems is which of the following?",Hypernatremia,Hypocalcemia,Hypoglycemia,Hyperphosphatemia,"Congenital heart disease, neural tube defects, small left colon, and metabolic derangements are all more common in infants of diabetic mothers. Hypoglycemia in these infants is usually seen in the first 24 hours of life. In utero exposure to the mother's hyperglycemia leads to fetal islet cell hypertrophy and beta cell hyperplasia, resulting in increased insulin production. After the umbilical cord is severed, that glucose supply is abruptly terminated and the elevated insulin levels cause hypoglycemia.Between 48 and 96 hours of life, these infants have usually achieved glycemic control. However, many now develop hypocalcemia and hypomagnesemia. Hypocalcemia is thought to result from delayed parathormone (PTH) synthesis and/or responsiveness in the infant of a diabetic mother. Symptoms of hypocalcemia may include irritability, sweating, tremors, twitches, seizures, and arrhythmias. In the vignette, the child was showing symptoms of hypocalcemia in the appropriate time frame after delivery. Treatment of symptomatic infants is intravenous calcium gluconate.",B
Exocrine pancreatic insufficiency is seen in:,Shwachman-Diamond syndrome,Diamond-Blackfan syndrome,Rubinstein-Taybi syndrome,Seckel syndrome,"Disorders associated with pancreatic insufficiency include: Cystic fibrosis Shwachman-Diamond syndrome Pearson syndrome Johanson-Blizzard syndrome Chronic pancreatitis & protein-calorie malnutrition . Shwachman-Diamond syndrome- autosomal recessive syndrome with pancreatic insufficiency, neutropenia, neutrophil chemotaxis defects, metaphyseal dysostosis, failure to thrive & sho stature.",A
USG examination of an 8 weeks pregnant female shows a gestational sac with absent fetal pas. The diagnosis is:,Ectopic pregnancy,Missed aboion,Threatened aboion,Blighted ovum,"Anembryonic pregnancy (previously called blighted ovum) is an ultrasound diagnosis. It is a pregnancy in which the embryo fails to develop or is resorbed after loss of bility. On ultrasound, an empty gestational sac, smaller mean gestational sac diameter, absent fetal echoes and absent fecal cardiac movements is seen. Clinical presentation is similar to that of a missed or threatened aboion: Mild pain or bleeding may be present; however, the cervix is closed, and the nonble pregnancy is retained in the uterus. Ref: Textbook of Obstetrics D C Dutta, 6th edition, Page 162.",D
Which of the following statements about 'Multiple Pregnancies' is TRUE?,Fetuses of same gender excludes dichorionicity,Twin Peak Sign is seen in dichorionicity,Thick separating membrane is a feature of monochorionic twins,Chorionicity can be reliably detected only after 16 weeks of gestation,"Twin peak or Lambda sign is seen in dichorionic diamniotic twin gestation. In this the chorion and amnion for each twin reflect away from the fused placenta to form an inter twine membrane. A space that exist in the intewine membrane is filled by proliferating placental villi giving rise to twin peak sign. Twin peak sign appear as a triangle with the base at the chorionic surface and apex in the inter twin membrane. Ref: Textbook of Obstetrics By Dutta, 6th Edition, Page 207; Ultrasound in Obstetrics and Gynecology By Meyz, 2004, Page 422, 423; Ultrasound and Multifetal Pregnancy, 1998, Pages 74, 75, 73; Textbook of Perinatal Medicien By Kurjak, 2nd Edition, Page 499, 500, 501.",B
Spalding's sign is seen in :,Still born,Live bom,Premature,Dead bom,"Ans. is d i.e. Dead born SpaldingSign : It is the irregular overlapping of the cranial bones on one another, due to liquefaction of the brain matter and softening of the ligamentous structures suppoing the vault. Appears 7 days after death. Is evident on both Ultrasound and Radiology. Similar features may be found in extra-uterine pregnancy with live fetus.",D
All are seen in Marasmus except –,Hepatomegaly,Muscle wasting,Voracious appetite,Weight loss,"Hepatomegaly is seen in kwashiorkor (not in marasmus).
Marasmus 

It is characterized by gross wasting of muscle and subcutaneous tissues resulting in emaciation and marked stunting.
There is no oedema.
Body weight is less than 60% expected.
Fat in adipose tissues is severely depleted. However, the buccal pad of fat is preserved until the malnutrition becomes extreme because a higher proportion of saturated fatty acids is stored there and the saturated fat is the last to be depleted.
Skin is dry, scaly and inelastic with wrinkles.
The hair is hypopigmented.
The abdomen is distended due to wasting and hypotonia of abdominal wall muscles.
The child is alert but irritable.
The child may show voracious appetite.",A
"Of the following potential clinical outcomes of tubal pregnancy, which one is the commonest?",Tubal rupture,Tubal aboion,Vascular insufficiency degenerating the embryo,Cornual pregnancy reaching term duration,Most common termination of an ectopic is that the pregnancy outgrows the blood supply of the tube and eventual vascular insufficiency causes degeneration. Rupture of the tube is a rare outcome.,C
Infant of diabetic mother can have all of the following except:,Hyperbilirubinemia,Hypoglycemia,Hyperglycemia,Resp distress,"(C) Hyperglycemia # Perinatal complications: Fetus may suddenly die during the last trimester of pregnancy> Preterm delivery may have to be induced to avoid third trimester fetal death.> Macrosomia or large size of the body and its attending risks during delivery such as birth trauma, asphyxia and increased possibilities of cesarean section.> Neonatal respiratory distress> Hypoglycemia, Hyperbilirubinemia> Polycythemia and increased viscosity of blood.> higher risk of congenital anomalies, (infants of mothers with gestational diabetes are 20 times more risk to develop cardiovascular defects).> Cardiomyopathy and persistent pulmonary hypertension.> Lazy left colon syndrome.",C
Which of the following is the most accurate way of dating the pregnancy?,Determination of uterine size on pelvic examination,Quantitative serum HCG level,Crown rump length on abdominal or vaginal ultrasound,Determination of progesterone level along with serum HCG level,"Ans. is c, i.e. Crown rump length on abdominal or vaginal ultrasoundBest method for dating of pregnancy is ultrasound in first trimester. The best parameter is Crown Rump length.",C
"A male child with coarse facies, macroglossia, thick lips with hepatosplenomegaly presents with copious mucus discharge from nose. Probable underlying diagnosis is:",Hurler disease,Beckwith-Wiedemann syndrome,Proteus syndrome,Hypothyroidism,"a. Hurler disease(Ref: Nelson's text book of Pediatrics, 20th ed/p 747-743, Ghai 8/e p 659-661)Hurler disease (deficiency of L-iduronidase)Diagnosis is usually made between 6-24 months of age with hepatosplenomegaly, coarse facial features, corneal clouding, large tongue, prominent forehead, joint stiffness, short stature and skeletal dysplasiaMost patients have recurrent upper respiratory tract infections, noisy breathing and copious nasal dischargeValvular heart disease, obstructive airway disease, respiratory infection, and cardiac complications are common.",A
The following X-ray depicts,Acute Laryngotracheobronchitis,Acute Epiglottitis,Foreign body aspiration,Retropharyngeal abscess,X-ray shows Thumb sign which is diagnostic of acute Epiglottitis,B
"A children has a vocabulary of 4-6 words , however the main mode of communication and social interaction continues to be non verbal what is the most likely developmental age of the child __________",12 months,15 months,18 months,24 months,"Developmental milestones:- GROSS MOTOR DEVELOPMENT: 2 months: Holds head in plane of rest of the body when held in ventral suspension. In prone position in bed, the chin lifts momentarily. 3 months:lift head above the plane of the body. Head control stas by 3 months and fully developed by 5 months. 4 months:Remain on forearm suppo if put in prone position, lifting the upper pa of the body off the bed. 5 months: Rolls over. 6 months:sit in tripod fashion. 8 months: sits without suppo., crawling 9 months: Takes a few steps with one hand held. Pulls to standing and cruises holding on to furniture by 10 months. 10 months: creeps 12 months:creeps well, walk but falls, stand without suppo. 15 months: walks well, walks backward/ sideways pulling a toy. May crawl upstairs. 18 months: Runs, walks upstair with one hand held. Explores drawers 2 years: walk up and downstairs, jumps. 3 years : rides tricycle, alternate feet going upstairs. 4 years: hops on one foot, alternate feet going downstairs. 5 years:skips FINE MOTOR DEVELOPMENT:- 2 months- eyes follow objects to 180 deg. 3 months-Grasp reflex disappears and hand is open most of the time. 4 months- Bidextrous approach( reaching out for objects with both hands). 6 months- Unidextrous approach( Reach for an object with one hand). 8 months- radial grasp sta to develop. Turns to sound above the level of ear. 9 months- immature pincer grasp, probes with forefinger. 12 months-Unassisted pincer grasp. Releases object on request.Uses objects predominantly for playing, not for mouthing. Holds block on each hand and bang them together. 15 months- imitate scribbling , tower of two blocks 18 months- scribbles, tower of 3 blocks.turn pages of a book, 2-3 at a time. 2 years- tower of 6 blocks, veical and circular stroke. 3 years-Tower of 9 blocks, dressing and undressing with some help, can do buttoning. 4 years- copies cross, bridge with blocks 5 years- copies triangle, gate with blocks. SOCIAL AND ADAPTIVE MILESTONES: 2 months: social smile(smile after being talked to).watches mother when spoken to and may smile. 3 months:Recognizes mother, anticipates feeds. 4 months: Holds rattle when placed in hand and regards it . Laughs aloud. Excited at the sight of food. 6 months:recognizes strangers, stranger anxiety . Enjoy watching own image in mirror, shows displeasure when toy pulled off. 9 months:waves bye bye 12 months:comes when called, plays simple ball game.kisses the parent on request. Makes postural adjustments for dressing. 15 months:jargon, stas imitating mother. 18 months: copies parents in tasking, dry by day, calls mother when he wants potty, points to three pas of body on request. 2 years: ask for food, drink, toilet, pulls people to show toys. 3 years:shares toys, know fullname and gender, dry by night. 4 years:Plays cooperatively in a group, goes to toilet alone, washes face, brushes teeth. Role play . 5 years:helps in household task , dresses and undresses. LANGUAGE MILESTONES: 1 month: Ales to sound. 2 month:respond to sound by stale or quitening to a smooth voice. 3 months: babbles when spoken to. Makes sounds (ahh,coos, ) laughs. 4 months: laughs aloud. 6 months: monosyllables 9 months: understands spoken words, bisyllables. 12 months: 1-2 words with meaning. 15months : vocabulary of 6 words 18 months: vocabulary of 10 words. Can name one pa of body. 2 years: 3 word simple sentences 3 years:asks questions, knows full name and gender. 4 years: says songs or poem, tells story, knows three colours. 5 years: ask meaning of words. Reference: GHAI Essential pediatrics, 8th edition",B
"In Wilson disease, which of the following is seen?","Low ceruloplasmin, high urine copper","Low ceruloplasmin, low urine copper","High ceruloplasmin, high urine copper","High ceruloplasmin, low urine copper",Investigations in Wilson disease: serum ceruloplasmin - Decreased Urinary copper excretion (Normal <40 mg/day) is increased to >100 mg/day Serum free copper level may be elevated in early Wilson disease Hepatic copper content >250mg/g of dry liver weight Slit lamp examination: Kayser Fleischer Ring,A
"A 27-year-old woman is examined by her gynecologist. Upon rectal examination, a firm structure, directly in front of the rectum in the midline, is palpated through the anterior wall of the rectum. Which is this structure?",Bladder,Body of uterus,Cervix of uterus,Pubic symphysis,"The cervix of the uterus is anterior to the rectum. Since the cervix is the inferior pa of the uterus that is protruding into the vagina, it should feel like a firm structure upon palpation. The bladder is the most anterior organ in the pelvis. So, the bladder would not be directly in front of the anterior wall of the rectum. The body of the uterus lies upon the bladder, so it is too far in front of the anterior rectal wall to be palpated. The pubic symphysis is the joint connecting the two pubic bones. It forms the anterior boundary of the pelvis, and would be too far forward to palpate through the rectum. Ref: Cunningham F.G., Leveno K.J., Bloom S.L., Hauth J.C., Rouse D.J., Spong C.Y. (2010). Chapter 5. Maternal Physiology. In F.G. Cunningham, K.J. Leveno, S.L. Bloom, J.C. Hauth, D.J. Rouse, C.Y. Spong (Eds), Williams Obstetrics, 23e.",C
What percentage of weight loss in infants constitutes severe dehydration?,>10% loss of body weight,> 6%' loss of body weight,5%' loss of body weight,7% loss of body weight,"Ans: A (> 10% loss of body weight) Ref: Nelson s Textbook of Pediatrics. 19th Edition, Chapter on 'Deficit Therapy'. Page 245Explanation:In an older child with diarrhea, 6% loss of body weight amounts to Severe dehydration whereas 10% loss of body weight is required to cause the same in infants (Ref: Nelson).CLINICAL EVALUATION OF DEHYDRATIONMild dehydration (<5% in an infant: <3% in an older child or adult):Normal or increased pulseDecreased urine outputThirstyNormal physical findingsModerate dehydration (5-10% in an infant: 3- 6% in an older child or adult):TachycardiaLittle or no urine output: Irritable/lethargieSunken eyes and fontanelDecreased tearsDry mucous membranesMild delay in elasticity (skin turgor)Delayed capillary refill (>1.5 sec)Cool and paleSevere dehydration (>10% in an infant; >6% in an older child or adult):Peripheral pulses either rapid and weak or absentDecreased blood pressureNo urine outputVery sunken eyes and fontanelNo tearsParched mucous membranesDelayed elasticity (poor skin turgor)Very delayed capillary refill (>3 see)Cold and mottledLimp, depressed consciousness",A
Child (girl) is suffering from varicella (fever rash). And child's aunt is pregnant. When is it earliest that the child can meet her aunt -,When the lesions have crusted,Immediately,Anytime as the child is aunt's ourite,After the delivery of the baby,"Ans. is 'a' i.e., When the lesions have crusted o Varicella Zoster (chicken pox) is a highly contagious disease, a centripetal, pleomorphic rash appearing on the first day of the illness and a relatively sho course of illness. o The crusts from chicken pox lesions donot contain ble virus and are therefore not infective. Period of infectivity range from a day prior to the illness and up to 5 days after the onset. Children with chicken pox are removed from school or day care centres for 6 days after appearance of the rash.",A
Which of the following is true regarding IUGR baby is,IVH common,Head circumference 3cm more than chest circumference,Hypothermia is rare as shivering thermogenesis is good,Fatty liver,"Usually head circumference is more than abdomen circumference in intrauterine growth retardation babies Reference: GHAI Essential pediatrics, 8th edition",B
All are the criteria for the diagnosis of severe acute malnutrition(SAM) except:,Weight-for-length (or height) below -3SD,Mid Upper arm circunference <11.5cm,Bilateral edema,Visible severe wasting,"Visible severe wasting is no longer a criteria to diagnose Severe acute Malnutrition (SAM) Severe acute malnutrition(SAM) in children of ages 6 to 59 months is defined by WHO as any of the following: Weight-for-length (or height) below -3SD of the WHO child growth standards Presence of bipedal edema Mid-Upper arm circumference <11.5cm The previous name Protein-Energy malnutrition is avoided, as it oversimplifies the complex multi-deficiency etiology. Clinical features: Treatment: The general treatment involves 10 steps in 2 phases Phases: Initial Stabilization Phase: Focuses on restoring homeostasis and treating medical conditions 2-7 days of inpatient treatment Rehabilitation Phase: Treat hypoglycemia (Blood Glucose level <54 mg/dl): If symptomatic give 10% Dextrose IV 5 ml/Kg. Feeding should be initiated with staer F-75 (Formula with 75 Kcal/100 ml of feed) Treat hypothermia (axillary <35oC or 95oF) : Skin-to-Skin contact with care (""Kangaroo technique"") of dress in warmer clothes, cover head, wrap in a warmed blanket, and provide indirect heat. Treat dehydration: Hydrate with ReSoMal (45 mmol Na/L). It is a low-sodium rehydration solution for malnutrition. Correct electrolyte imbalance: There is a deficit of potassium and magnesium and excess sodium. Give extra potassium (3 to 4 mEq/Kg/day) and magnesium (4 mEq/Kg/day) for atleast 2 weeks. Treat infection: Staing on the first day, give broad-spectrum antibiotics to all children. Correct micronutrient deficiencies: Donot give iron in the stabilizing phase, because excess iron leads to free radical injury. Give iron 3mg/Kg/day once the child stas gaining weight after the stabilization phase. Give Vitamin A on day 1. Repeat on day 2 and day 14 Folic acid 1 mg (5 mg on day 1) Zinc (2 mg/Kg/day) Copper (0.3 mg/Kg/day) Sta caitious feeding: Give 8 to 12 small feeds of F75 to provide 130 mL/Kg/day, 100 Kcal/kg/day, and 1 to 1.5 g protein/Kg/day Rehabilitation: The indications of entry to this phase are reduced/minimal edema and the return of appetite Begining of feeding After 3 days, the transition to energy-dense feeding Stimulation of emotional and sensorial development Transfer to home-based diet Ref: Ghai Essential Pediatrics 9th edition Pgno: 97",D
A child Hugs parents at the age of ?,12 months,15 months,18 months,24 months,"Emerging patterns of social behaviour from 1-5years of age 15months Indicates some desires or needs by pointing Hugs parents 18months Feeds self Seeks help when in trouble May complain when wet or soiled Kisses parent with pucker 24months Handles spoon well Often tells about immediate experiences Helps to undress Listens to stories when shown pictures 30months Helps put things away Pretends in play 36months Plays simple games (in ""parallel"" with other children) Helps in dressing (unbuttons clothing and puts on shoes) Washes hands 48months Plays with several children, with the beginning of social interaction and role-playing Goes to the toilet alone 60months Dresses and undresses Asks questions about the meaning of words Engages in domestic role-playing Ref: Nelson paediatrics; Table 11-1",B
"A S2, S3, S4 lesion bilaterally can cause which of the followingmanifestations?",Painless menses,Painless Labour,Inability to abduct her thigh,Rectal incontinence,"Note the distribution of S2-S4 nerve. The S2, S3, S4 innervation, if damaged at the level of the spinal cord, is most likely to produce incontinence of bladder or bowel. Pain of the vaginal delivery arises from stimuli from the lower genital tract. These are transmitted primarily through the pudendal nerve, the peripheral branches of which provide sensory innervation to the perineum, anus, vulva, and clitoris. The pudendal nerve passes beneath the sacrospinous ligament just as the ligament attaches to the ischial spine. Sensory nerve fibers of the pudendal nerve are derived from ventral branches of the S2 through S4 nerves.... So labour will be painful but the vaginal stretching and the episiotomy may not be. Movement of the leg is mediated by L2-L4.",D
Which of the following drugs should be avoided in a pregnant female with dilated cardiomyopathy?,Beta blockers,Digoxin,ACE inhibitors,CCBs,"Drugs Used for Dilated Cardiomyopathy Medical therapies for congestive hea failure include beta blockers, which should be continued during pregnancy. Digoxin is considered safe in pregnancy. ACE inhibitors and ARBs are known teratogens and are associated with a increased risk of renal, CVS and CNS malformations with first trimester exposure. Exposure after the first trimester carries risk of fetal anuric renal failure and even IUFD.",C
Male pseudohermaphroditism is seen in,5- a redutase deficiency,21 hydroxylase deficiency,17 hydroxylase deficiency,Gonadal dysgenesis,"5 alpha reductase conve testosterone to dihydrotestosterone,which is required for external genital devolopment in male.deficiency of it leads to development of mullerian duct into fallopian tube,Uterus and upper third of vagina. Reference : Ghai essential of pediatrics, eighth edition, p.no:538",A
"What is the minimal internal diameter of giant coronary aneurysm in children with Kawasaki disease which pose highest risk for ruptures, thrombosis, stenosis and myocardial infarction?",8 mm,10 mm,12 mm,15 mm,"--> Giant coronary aery aneurysms (classic definition of > 8 mm internal diameter) pose the greatest risk for rupture, thrombosis or stenosis, and myocardial infarction",A
Bih length doubles by what age?,1 year,2 years,3 years,4 years,Bih length doubles by 4- 4 1/2 yrs of age Age Bih 1 year 2 year 4 year 12 year Height 50 cm 75 cm 90 cm 100 cm 150 cm Length of child increases by 50% in 1st year.,D
"The recommended oral dose of vitamin A to be given in a 10 months child with deficiency on each of day 1, 2 and 28 is:","50,000 IU","1,00,000 IU","2,00,000 IU","6,00,000 IU","b. 1,00,000IU(Ref: Nelson's 20/e p 318-320, Ghai 8/e p 111-112)Dose of oral vitamin A for the treatment of Vitamin A deficiency consists of:Age< 6 months6-12 months> 1yearDose of vitamin A50,000IU1,00,000IU2,00,000IU",B
Appropriate treatment of women having oedema in pregnancy includes :,Salt restriction,Fluid restriction,Diuretics,Bed rest,Ans. is d i.e. Bed rest Femoral venous pressure is markedly raised in pregnancy especially in later months. It is due to the pressure exeed by gravid uterus on the common iliac veins (more on right side due to dextrorofation of the uterus). This causes ohysiological edema of pregnancy. No treatment is required for physiological edema or ohostatic edema. It subsides on rest alone. Diuretics should not be prescribed in case of physiological edema.,D
All of the following can be used for establishing antenatal diagnosis except :,Fetal blood,Maternal blood,Amniotic fluid,Decidua,Answer is D (Decidua) : Decidua has not been mentioned to play any role in antenatal diagnosis Maternal Blood Can be used as in estimation of AFP (MSAFP) : MSAFP level is elevated in a number of conditions. - wrong gestational age - open neural tube defects Q - multiple pregnancy Q - Intra uterine fetal death Q - Renal anomalies Q Amniotic fluid Forms on impoant tool for antenatal diagnosis. Following tests may be performed on amniotic fluid : - estimation of Alpha feto-protein (AFP). - culture and chromosomal study of desquamated fetal cells in the amniotic fluid. Fetal Blood May be used for - fetal anemia - Bleeding disorders - Rheusus disease - Non-Immune Hydrops Fetalis,D
"A 15-year-old female presented to the emergency depament with history of recurrent epistaxis, Hematuria and hematochezia. There was a history of profuse bleeding from the umbilicus stump at bih. Previous investigations revealed normal prothrombin time, activated paial thromboplastin time, thrombin time and fibrinogen levels. Her platelet counts as well as platelet function tests were normal but urea clot lysis test was positive. Which one of the following clotting factor is most likely to be deficient?",Factor X,Factor XI,Factor XII,Factor XIII,"- History given in question suggests diagnosis of Factor XIII deficiency. Factor XIII deficiency (Fibrin stabilizing factor or transglutaminase deficiency): Clinical symptoms include history of bleeding from umbilical stump, recurrent episodes of epistaxis, Hematuria and hematochezia As factor XIII is responsible for the cross linkage of fibrin & stabilizing the fibrin clot, symptoms of delayed hemorrhage are secondary to the clot instability PT , aPTT , Thrombin time & fibrinogen levels are normal The normal clot remains insoluble in the presence of urea, whereas in a patient with factor XIII deficiency, the clot dissolves due to failure of cross linking.",D
% of PCOS patients having diabetes mellitus:,50%,30%,20%,10%,"Ans. is d, i.e. 10%Ref: Leon Speroff 8th/ed, p5I7PCOS: Upto 35% exhibit impaired glucose tolerance and upto 10% have diabetes mellitus.In all PCOS patients, a baseline 2-hour OGTT is recommended.",D
"You see the newborn baby shown below for the first time in the nursery. You consult plastic and reconstructive surgery as well as the hospital's speech therapist. Understandably, the parents have many questions. Which of the following statements is appropriate anticipatory guidance for this family?",Parenteral alimentation is recommended to prevent aspiration.,Surgical closure of the palatal defect should be done before 3 months of age.,Good anatomic closure will preclude the development of speech defects.,Recurrent otitis media and hearing loss are likely complications.,"(d) Source: (Hay et al, pp 1047-1048. Kliegman et al, pp 1252-1253. McMillan et al, pp 469-472, 2661-2662. Rudolph et al, pp 705- 710.) The infant pictured has bilateral cleft lip and palate. The incidence in the general population is about 1:1000 live births, but occurs in about 4% of the siblings of affected infants. Evaluation for other structural and chromosomal abnormalities is indicated. Although affected infants are likely to have feeding problems initially, these problems usually can be overcome by feeding in a propped-up position and using special nipples. Complications include recurrent otitis media and hearing loss as well as speech defects, which may be present despite good anatomic closure. Repair of a cleft lip usually is performed within the first 2 to 3 months of life; the palate is repaired later, usually between the ages of 6 months and 5 years.",D
Which of the following are true for Bronchiolitis in children?,"Commonly seen in children between 1- 6 months of age, but can be seen upto 2 years",RSV is the most common causative organism,Disease usually occurs in winter and spring season.,All of the above,"Ans. D. All of the aboveBronchiolitis primarily affects young infants (1- 6 months some may be affected upto 2 years of age), clinical manifestations are initially subtle. Infants may become increasingly fussy and have difficulty feeding during the 2 to 5-day incubation period. A low-grade fever, usually less than 101.5degF, and increasing coryza and congestion usually follow the incubation period. In older children and adults, as well as in up to 60% of infants, respiratory syncytial virus (RSV) infection is generally confined to the upper airway and does not progress further. Over a period of 2-5 days, RSV infection progresses from the upper to the lower respiratory tract, and this progression leads to the development of cough, dyspnea, wheezing, and feeding difficulties.",D
Prevention of neural tube defect in the newborn is by,Iron,B6,B12,Folic acid,"(Folic acid): (865 H186th edition)* Folic acid supplementation of the time of conception and in the first 12 weeks of pregnancy reduce by -70% the incidence of neural tube defects (NTDs) (Anencephaly , meningomyelocele,encephalocele and spina bifida) in the fetus.* Most of this protective effect can be achieved by taking folic acid 0.4mg daily at the time of conception* The incidence of cleft palate and have lip also can be reduced by prophylactic folic acid* NTDs also can be caused by antifolate and antiepileptic drugs",D
All are diagnostic criteria for 'severe acute malnutrition' (SAM) except?,Mid-upper arm circumference (MUAC) <115 mm,Weight for age <-3 Z score,Presence of bipedal edema,Presence of visible severe wasting,SAM in a child 6m-5yr is presence of 1 or more of: A. Weight for height <-3 z score or <70% of expected B. Symmetrical bipedal edema of nutritional origin C. Visible severe wasting D. Mid upper arm circumference <11.5cm or 115mm,B
Which one of the following is not a cause of secondary postpaum hemorrhage?,Placenta pre,Retained bits of placenta,von Willebrand disease,Placental polyp,"- Placenta pre causes APH Secondary postpaum hemorrhage is bleeding after 24 hours to 12 weeks after delivery. Causes of PPH : Uterine atonicity ( most common cause of primary PPH) Injury to any pa of genital tract Coagulopathy (von Willebrand's disease) Retained tissues - (most common cause of secondary PPH ) Usually, retained products undergo necrosis with fibrin deposition and may eventually form a so-called placental polyp.",A
Fetal biophysical profile used for the assessment of fetal well-being does not includes:,Fetal breathing movements,Fetal tone,Amount fluid volume,Stress test,"Ans. D. Stress testFetal biophysical profile considers several parameters, which includes:a. Non-Stress testb. Fetal breathing movementsc. Gross body movementsd. Fetal muscle tonee. Amniotic fluid volume",D
FSH level above what is considered diagnostic of menopause,20 IU/L,25 IU/L,30 IU/L,35 IU/L,FSH level of > 30IU/L is considered diagnostic of menopause.,C
1 ml of 7.5% sodium bicarbonate provides:-,0.5 meq bicarbonate,0.9 meq bicarbonate,1.1 meq bicarbonate,1.5 meq bicarbonate,1 ml of 7.5% sodium bicarbonate provides:- 0.9 meq bicarbonate,B
Which is the best parameter for SAM ____________,Weight/height,Height/age,Weight/age,Mid arm circumference,"Severe acute malnutrition is the most extreme and visible form ofundernutrition. ... Children with severe acute malnutrition have very low weight for their height and severemuscle wasting. They may also have nutritional oedema - characterized by swollen feet, face and limbs. Ref.nelson 20th edition Nutrition chapter",A
