Question,A,B,C,D,Explanation,Answer
Local anaesthetic causing methemoglobinuria is?,Dibucaine,Chlorprocaine,Procaine,Benzocaine,"Ans. is 'd' i.e., Benzocaine Impoant facts about LAs Chlorprocaine is the shoest acting LA. Dibucaine is the longest acting, most potent and most toxic LA. Procaine & chlorprocaine are least potent LAs. Bupivacaine is the most cardiotoxic LA (Ropivacaine is a newer bupivacaine congener with less cardiotoxicity). Levobupivacaine (The S (-) enantiomer of bupivacaine) is less cardiotoxic and less prone to cause seizure. Prilocaine and Benzocaine can cause Methaemoglobinemia Lignocaine is the most commonly used LA. Bupivacaine has the highest local tissue irritancy. Chlorprocaine is contraindicated in spinal anaesthesia as it can cause paraplegia due to presence of neurotoxic preservative sodium metabisulphite. Procaine is the LA of choice in malignant hypehermia",D
Which of the following fluorinated agent does not produce fluoride to produce toxicity ?,Sevoflurane,Methoxyflurane,Desflurane,Enflurane,"Ans. is 'c' i.e., Desflurane",C
MAC of the volatile agent is reduced in all of the following except,Elderly,Acute alcoholic intoxication,Pregnancy,Hypernatremia,Hypernatremia causes CNS excitation thus increases MAC. Pregnancy decreases MAC because there is increase in progesterone level in pregnancy. progesterone has sedative effect on brain. age decreases MAC by 6%/decade Acute alchohol intoxication produce sedation thus decreases MAC,D
Which of the follow ing drugs produces dissociative anesthesia -,Ketamine,Propofol,Thiopentone,Entlurane,"Ans. is 'a' i.e., Ketamine o Ketamine produces dissociative anaesthesia.o Dissociative anaesthesia is characterized by profound analgesia, amnesia with light sleep and feeling of dissociation from once own body and the surroundings - Cataleptic state.o The primary site of action is in the thalamocortical projection system, not the reticular activating system (the site of action of barbiturates). It acts on NMDA receptors.o Short duration of action (10-25) is due to redistribution from brain and blood to other tissues of the body.o Ketamine is different from most other anaesthetic induction agents in that it has significant analgesic action can be used for analgesia.",A
A patient with bilirubin value of 8mg/dl and serum creatinine of 1.9 mg/dl is planned for surgery. What is the muscle relaxant of choice in this patient:,Vecuronium,Pancuronium,Atracurium,Rocuronium,C i.e. Atracurium,C
A patient with severe neurological devastation after head trauma has a prolonged course in the intensive care unit. He has been mechanically ventilated for his entire hospital stay. Which of the following clinical findings is diagnostic of a ventilator-associated pneumonia?,"White blood cell count of greater than 12,000/mL","Greater than 1,000 colony-forming U/mL of an organism on bronchoalveolar lavage","Greater than 10,000 colony-forming U/mL of an organism on bronchoalveolar lavage",Purulent tracheal secretions,"While findings such as fever, leukocytosis, purulent secretions, or a focal infiltrate on chest x-ray are suspicious for ventilator-associated pneumonia (VAP), quantitative cultures are diagnostic. Samples may be obtained using bronchoscopy with bronchoalveolar lavage (BAL). Greater than or equal to 10,000 colony-forming U/mL of a single organism is diagnostic for VAP. Empiric antibiotics may be initiated after cultures are obtained based on clinical suspicion, but antibiotic coverage should be narrowed or stopped once an organism is identified to minimize development of resistant organisms",C
Which of the following is not an amino steroid derivative –,Alcuronium,Vecuronium,Pancuronium,Pipecuronium,"Vecuronium, Pancuronium, Pipecuronium are aminosteroids. Alcuronium is benzylisoquinolone.",A
Most common cause of postoperative renal failure:,Decreased renal perfusion,Toxicity of anesthetic drugs,Toxicity of antibiotics,None of the above,"Decreased renal perfusion Postoperative renal failure results from many etiologies how more than 90% cases fo postoperative renal failure are due to hypovolemia and inadequate perfusion. Most common cause of postoperative renal failure is decreased renal perfusion due to hypovolemia. Hypovolemia usually results from inadequate intraoperative fluid replacement, continuing fluid sequestration by tissues (third spacing) or wound drainage or postoperative bleeding",A
"All of the following cause myocardial depression, except",Halothane,Propofol,Etomidate,Ketamine,"The hemodynamic stability seen with etomidate is caused by its lack of effect on the sympathetic nervous system and on the function of the baroreceptor. The minimal effect of etomidate on cardiovascular function sets it apa from other rapid-onset anesthetics. Etomidate has proven useful in patients with valvular or ischemic hea disease who are undergoing noncardiac surgical procedures and in patients with poor cardiac function. In patients receiving etomidate during induction of anesthesia, more hypeension and tachycardia occur after etomidate compared with propofol. The myocardial oxygen supply-to-demand ratio is well maintained. Myocardial contractility and cardiac output are usually unchanged. Etomidate lacks analgesic efficacy, however, and must be combined with an opiate to prevent hemodynamic peurbations during laryngoscopy and intubation. In the setting of hemorrhagic shock, etomidate has advantages for the induction of anesthesia. In contrast to other drugs, the pharmacodynamics and pharmacokinetics of etomidate were minimally altered in a pig model of hemorrhagic shock. Ref: Miller's anesthesia 8th edition Ref: Morgan & Mikhail's clinical anesthesiology 6e",C
"After induction of anesthesia, surgeon holds medial rectus and anesthetist looks at the monitor to check?",Oculocardiac reflex,Hypertension,O2 delivery,Response to Painful stimulus,"ANSWER: (A) Oculocardiac reflexREF: Miller's Anaesthesiology 7th Ed Ch 75OCULOCARDIAC REFLEXThe oculocardiac reflex was first described by Aschner and Dagnini in 1908.Traction on the extraocular muscles or pressure on the globe causes bradycardia, atrioventricular block, ventricular ectopy, or asystole. It is especially seen with traction on the medial rectus muscle, but can occur with stimulation of any of the orbital contents, including the periosteum.The reflex is trigeminovagal. The afferent limb is from orbital contents to ciliary ganglion to ophthalmic division of the trigeminal nerve to the sensory nucleus of the trigeminal near the fourth ventricle. The efferent limb is via the vagus nerve to the heart.The reflex maybe seen more often with procedures under topical anesthesia. Retrobulbar block is not uniformly effective, however, at preventing the reflex. Orbital injections can trigger the response. The response is exacerbated by hypercapnia or hypoxemia.In the event of arrhythmia, the anesthesiologist first should ask the surgeon to stop manipulations. The ventilatory status is assessed. If significant bradycardia persists or recurs, intravenous atropine is administered in 7 ug/kg increments. Rarely, severe bradycardia or asystole occurs. Although chest compressions might be required to allow the atropine to circulate, usually the heart rhythm returns to normal isnth cessation of manipulation alone. The response fatigues with repeated stimulation.Pretreatment with intravenous atropineorglycopyrrolatecanbeeffective. Pretreatment may be indicated in patients with a history of conduction block, vasovagal responses, or b-blocker therapy",A
This laryngoscope is paicularly used for:-,Pediatric inubation,Difficult airway,Nasal intubation,Rapid sequence intubation,"This is miller laryngoscope used for pediatric intubation to lift up the whole epiglottis . The straight Miller laryngoscope blade is traditionally recommended for intubation in infants, due to the large size and flexibility of the infant epiglottis. A laryngoscope is an instrument used to examine the larynx. The classic laryngoscope is available with a variety of blade attachments and with/without a Fiber Optic light source. The trend regarding blades has/is moving toward the disposable version. Function:Laryngoscope blades are used as the primary tool for examination of the interior of the larynx and for placement of an endotracheal tube.Main Feature:The Miller Laryngoscope Blade . . . The most popular of the straight types. The side of the flange is reduced to minimize trauma and the curve at the beak or tip is extended to improve lifting of the epiglottis. These improvements facilitate greater exposure of the larynx in difficult-to-intubate patients. The Macintosh Laryngoscope Blade . . . The Macintosh is the predominate model of the curved blade types. During laryngoscopy, the tip or beak of the blade is compressed into the angle formed by the base of the tongue and the epiglottis, indirectly raising the epiglottis. Some sizes are available flangeless. Also available is a die-stamped or one-piece construction blade with a slightly expanded flange.",A
What is the use of Murphy's eye present on the Endotracheal tube,It is alternate pathway for ventilation,It decreases the weight of tube,It is used for suctioning of respiratory treat along with ventilation,All of the above,"Murphy's eye is seen in the endotracheal tube (ETT). Murphy's eye refers to the distal opening in the side wall of the ETT. If the distal end of the lumen of the tube is blocked by secretions, Murphy's eye serves to provide an alternate route for ventilation.",A
"A 63-year-old man presents for an elective laparoscopic cholecystectomy. He is obese, has angina at rest, and chronic obstructive pulmonary disease (COPD). Which of the following would be his American society of Anesthesiologists (ASA) physical status classification",ASA I,ASA II,ASA III,ASA IV,"The patient is obese, with angina unpredictably and at rest, and COPD. His angina at rest represents a systemic disease which is unstable, and which could be life threatening. In addition, he also has another comorbidity, COPD. His classification is ASA IV.",D
All except one are true regarding thiopentone,Thiopentone has high lipid solubility,Has rapid onset of action due to rapid redistribution of drug,It can’t be used as analgesic agent,It is contraindicated in asthma patients.,Thiopentone is rapidly redistributed because of which it is ultra short acting .rapid onset of action is due to high lipid solubility.,B
Drug contraindicated in renal failure is,Morphine,Pethidine,Fentanyl,Alfentanil,"B i.e. Pethidine Meperidine (pethidine, demerol), a phenylpiperidine is metabolized chiefly in liver to nonmeperidine, which is eliminated by the kidney and liver. In patients or addicts who are tolerant to the depressant effects of meperidine, large doses repeated at sho interval may produce an excitatory syndrome including hallncination, tremors, muscle twitches, dilated pupils, hyperactive reflexes and convulsions. These excitatory symptoms are d/t accumulation of normeperidine, which has a half life of 15-20 hours, compared to 3 hours for meperidine. In patients with cirrhosis, the bioavailability of meperidine is --80% increased and t1/2 of both meperidine and normeperidine are prolonged. Since normeperidine is eleminated by kidney and liver, decreased renal or hepatic function predispose to neurotoxic effects of nor-meperidineQ. Meperidine is also not recommended for the treatment of chronic pain b/o concerns of metabolite toxicity. It should not be used for longer than 48 hours or in doses > 600 mg/day. Major pathway for morphine metabolism is conjugation with glucuronic acid forming morphine -6- glucuronide and morphine -3- glucuronide. Morphine-6-glucuronide is twice as potent as morphine with somewhat longer t1/2. (t1/2 of morphine is 2 hours) and pharmacological actions indistinguishable from those of morphine. With chronic morphine administration, the 6-glucuronide accounts for most of analgesia and its blood levels exceed those of morphine. Morphine-6-glucuronide is excreted by kidney, so its levels increase in renal failure, perhaps explaining morphine's potency and long action in compromised renal function. So in patients with renal failure decreased protein binding of morphine (resulting in higher plasma free drug level) and accumulation of morphine -6- glucuronide predispose them to respiratory depression. So morphine is given cautiously in low doses in renal failure. Respiratory depression is also repoed in patients with CRF receiving sufentanyl. Except for slightly decreased protein binding, the free drug volume of distribution and clearance of alfentanil appears to be unaffected by renal failure. Fentanyl, has sho half life and its metabolites are inactive. Therefore, it is a good choice in patients with renal diseaseQ. In renal disease (renal failure) remifentanil > fentanyl > alfentanil > sufentanil are safe. Whereas morphine (d/t morphine 6 glucoronide) 1/t respiratory depression is used very cautiously in low dose and meperidine (pethidine) is contraindicated d/t very long acting metabolite nor-meperidine causing neurotoxic excitatory syndrome.",B
Muscle relaxant of choice in hepatic and renal failure,Cisatracurium,Rocuronium,Vecuronium,Rapacuronium,A i.e. Cisatracurium,A
Site of action of vecuronium is?,Cerebrum,Reticular formation,Motor neuron,Neuro-muscular junction,"Ans. is 'd' i.e., Neuro-muscular junction* Vecuronium, a non-depolarizing blocker, acts on nicotinic receptors at myoneural junction.* Neuro-muscular blocker act at myoneural junction1. Competitive (Non-depolarizing) blocker: -# They compete with Achfor Nm receptors - called competitive blockers. They prevent binding of Ach to Nm receptors - No opening of Na+ channels - No depolarization, so these are called non-depolarizing blockers. Competitive blockers reduce the frequency of channel opening but not its duration or the conductance of a channel once it has opened. When the magnitude of end plate potential falls below a critical level, it is unable to trigger propagated muscle action potential - muscle fails to contract. Neostigmine (anticholinesterases) antagonises competitive blockers as it increases the concentration of Ach by inhibiting its degradation by cholinesterase. Therefore, Neostigmine is used for the reversal of competitive (nondepolarizing) blockers.2. Depolarizing blockers (Succinylcholine, Decamethonium)# Depolarizing blockers have affinity as well as submaximal intrinsic activity on NM receptors. They depolarize muscle end plates by opening of Na+ channels and initially produce twitching and fasciculations (not full contraction as these drugs have submaximal activity) - So, they are called depolarizing blocker. These drugs do not dissociate rapidly from the receptor (NM) - Persistant partial depolarization - Na+ channels get inactivated - flaccid paralysis. Neostigmine does not antagonize depolarising blockers (Therefore neostigmine cannot be used for reversal).Inf act neostigmine can potentiate the block as neostigmine and other anti-cholinesterase also inhibits pseudocholinesterase which metabolizes Sch.Under certain conditions depolarizing agents produce dual mechanism of neuromuscular blockade which can be divided into two phases :a) Phase I block* Rapid in onset* Result from persistant depolarization of muscle end plate - Typical mechanism of action of depolarizing blocker.* Has classical features of depolarization block.* Block is not antagonized by anticholinesterases (neostigmine).b) Phase II block (Dual block)* Slow in onset* Results from desensitization of receptor to ACh - Ach can not act on Nm receptors (similar to competitive blocker).* Resembles block produced by competitive blockers - Therefore, has characteristics similar to non-depolarizing (competitive) block.* Block is partially reversed by anticholinesterases (Neostigmine).# In man, normally, only phase I block is seen - typical depolarizing block.# Phase II block is seen when fluorinated anaesthetics have been given or when SCh is injected in high dose.# SCh also produces phase II block in patients with atypical or deficient pseudocholinesterase.",D
"25 yr old female develops masseter muscle spasm after IV succinyl choline. ETCO2 progressively increases, hea rate increases, temperature raises; management includes all except :-",Sta halothane to decrease the hea rate,Hyperventilate with 100 % oxygen,Active cooling measures,Treat acidosis,It is most probably malignant hypehermia. Halothane is contraindicated in malignant hypehermia.,A
Malignant hyperthermia is caused due to which of the following mechanism?,Increased intracellular Na,Decreased intracellular chlorine,Increased intracellular Ca,Increased serum K,"Ans. is 'c' i.e., Increased intracellular Ca o The mechanism involves a sudden rise in intracellular calcium due to release of stored calcium in sarcoplasmic reticulum, stimulating contraction, rhabdomyolysis and a hypermetabolic state.o Tachycardia and not bradycardia, is a feature of malignant hyperthermia.MALIGN ANT HYPERTHERMIAo Malignant hyperthermia is a life-threatening medical emergency which is genetically determined. The condition occurs during or immediately after anaesthesia and may be precipitated by potent inhalational agents,o The mechanism involves a sudden rise in intracellular calcium due to release of stored calcium in sarcoplasmic reticulum stimulating contraction, rhabdomyolysis and a hypermetabolic state.Drugs causing malignant hyperthermia# Succinylcholine# Desflurane# Tricyclic antidepressants# Halothane# Cyclopropane# Phenothiazines# Isoflurane# Ether# Lignocaine# Enflurane# Methoxyflurane # Sevoflurane# MAO inhibitors o Succinylcholine is the most common cause of MHoAmongst inhalational agents halothane is the most common cause.o Combination of Sch and Halothane has a much higher incidence.Clinical featureso Masseter spasm - if a patient develops severe masseter spasm after suxamethonium, there is a significant possibility of malignant hyperthermia.o Tachycardia, arrhythmias and hypertension.o Hyperthermiao Rise in end-tidal CO2 - May rise to more than 100 mm Hg (normal is 32-42 mm Hg). It is the earliest and most sensitive indicator.o Hyperkalemia, metabolic acidosis, elevated creatininephosphokinase, muscle rigidity,o Increased myoglobin, renal failure.o Muscle biopsy contracture test (definitive diagnostic procedure) :- The muscle biopsy contracture test is the most sensitive and specific test. The Caffeine Halothane Contracture test (CHCT), a test performed on freshly biopsied muscle; is the ""gold standard"" for diagnosis of malignant hyperthermia. However, the test is available only at few centers in the world (only about 30 centers world wide) and it is very costly. The CHCT test should be considered for all those judged to be at significant risk for malignant hyperthermia, either through family history, or by elicitation of signs of an episode of malignant hyperthermia, or if there had been any previous uncharacterized adverse reaction to a general anesthetic.Managemento Stop all anaesthetics immediately,o Hyperventilation with 100% oxygeno Cooling of body by ice coolingo Correct acidosis and hyperkalemia,o Maintain urine output,o IV dantrolene is the drug of choiceo Procaine is the local anaesthetic of choice for malignant hyperthermia patients,o Propofol is the intravenous anaesthetic of choice for malignant hyperthermia patient",C
The pin index code of nitrous oxide is,"2, 5","1, 5","3, 5","2, 6","The Pin Index Safety System, or PISS, is a means of connecting high-pressure cylinders containing medical gases to a regulator or other utilization equipment. It uses geometric features on the valve and yoke to prevent mistaken use of the wrong gas. This system is widely used worldwide for anesthesia machines, poable oxygen administration sets, and inflation gases used in surgery. Cylinders attach to the machine hanger-yoke assemblies that utilize a pin index safety system to prevent accidental connection of a wrong gas cylinder. The yoke assembly includes index pins, a washer, a gas filter, and a check valve that prevents retrograde gas flow. PIN INDICES OF COMMONLY USED GASES: O2: 2,5 N2O: 3,5 Mixture of O2 and N2O (50% / 50%), commonly called Entonox: 7 (a single pin, located in the center) Air: 1,5 Mixtures of CO2 and O2 with more than 7% CO2: 1,6 Mixtures of CO2 and O2 with less than 7% CO2: 2,6 He: No pin Mixtures of O2 and He with less than 80% He, commonly called Heliox: 2,4 Mixtures of O2 and He with more than 80% He: 4-6 Cyclopropane: 3,6 Ethylene: 1,3 Nitrogen: 1,4 Ref: Miller's anesthesia 8th edition Ref: Morgan & Mikhail's clinical anesthesiology 6e",C
Which of the following are not local anesthetics – a) Bupivacaineb) Mepivacaine c) Mivacuriumd) Butorphenole) Buprenorphine,cde,acd,bde,ade,Amongst the given options bupivacaine and mepivacaine are local anaesthetics.,A
"A 46 year old obese female patient is posted for incisional hernia repair. She gives you history of having deranged liver functions within 2 weeks post-operatively, when she was operated for mass per abdomen, 12 years ago. which among the following agents is used for induction",Halothane,Isoflurane,Sevoflurane,Desflurane,The history is typical of halothane hepatitis when the patient had undergone surgery 12 years ago. Desflurane is agent of choice in patients who have had history of halothane hepatitis.,D
Post dural puncture headache is,Retro-orbital,Frontal,Occipital,Temporal,Post dural puncture headache is occipital > frontal > retroorbital.,C
"Which of the following drug can be given intravenously, epidurally or by transdermal route –",Fentanyl,Thiopental,Succinylcholine,Vecuronium,"Fentanyl can be given by IM, IV, transmucosal, transdermal (fentanyl patch), intrathecal and epidural routes.",A
Sodalime in breathing circuit is contraindicated with,Sevoflurane,Chloroform,Desflurane,Methoxyflurane,"Chloroform produces phosphogene gas with soda lime, so soda lime is contraindicated with it.",B
Which muscle is most resistant to neuromuscular blockage?,Diaphragm,Ocular,Adductor pollicis,Intercostal muscles,"ANSWER: (A) DiaphragmREF: Lee synopsis of anesthesia 13th e p. 182, Morgan 4th e p. 206-15Diaphragm is the most resistant muscle to muscle relaxants.",A
O2 delivery is regulated by WE,O2 tent,Venti mask,Poly mask,Noval Catheter,D i.e. Noval Catheter - Nasal catheter is used for 02 delivery not novel catheter. O2 is delivered through various devices. The common used methods are.,D
5 year old child going to sitting craniotomy while positioning in O.T. developed end tidal CO2 0mm HgPO2 80 mm Hg implies –,Endotracheal tube in oesophagus,E.T. blocked with secretion,Venous air Embolism,Left lung collapse,"Information in this question : -


Child is under going sitting craniotomy
Rapid fall of ETCO2 (while in position, child develops ETCO20)


This indicates venous air embolism due to sitting craniotomy.
In esophageal intubation, ETCO2 will be zero from the start only (unlike venous air embolism in which initially there is detection followed by rapid fall).",C
Which of the following is not a cardiovascular monitoring technique -,Transesophageal echocardiography,Central venous pressure monitoring,Pulmonary artery catheterization,Capnography,"Ans. is 'd' i.e., Capnography Capnography is a respiratory monitor system (not a cardiovascular)Capnography -It is the determination of End tidal CO2 (Et CO2) concentration to confirm adequate ventilation.It is useful during all anaesthetic procedures Principal of End tidal CO2 determination (capnography)Gases with molecules that contain at least two dissimilar atoms absorb radiation in the infrared region of the spectrum.Using this property, carbon dioxide concentration can be measured directly and continuously throughout the respiratory cycle.The gradient observed during end tidal C02 measurement in healthy individuals isEnd tidal CO2 < alveolar CO2 < arterial CO2Why is End tidal CO2 less than alveolar CO2?Because the end tidal carbon di oxide is always diluted with alveolar dead space gas from unperfumed alveoli.These alveoli do not take part in gas exchange and so contain no carbon di oxide.Why is alveolar CO2 less than arterial CO2?Because the blood from the unventilated alveoli and lung parenchyma (both have higher CO2 contents) mixes with the blood from ventilated alveoli.In healthy adults with normal lungs end tidal CO2 is .3 to .6 kPa less than arterial CO2.This difference is reduced if the lungs are ventilated with large tidal volumes.Uses of End tidal CO2 (Et COA CapnographyTo detect correct placement in tracheal intubation.Persistent detection of CO2 by a capnograph is best confirmation of tracheal placement of endotracheal tube.If the tracheal tube goes into the oesophagus no, or very little CO2 is detected.To diagnose lung embolism as a sudden decrease in end tidal carbon di oxide, assuming that the arterial blood pressure remain stable.To diagnose malignant hyperpyrexia as a gradual increase in end tidal carbon di oxide.As a disconnection alarm for a ventilator or breathing system. There is sudden absence of end tidal CO2.Also know,Cardiovascular monitoring techniques.Noninvasive methodsECG Blood pressureTransesophageal echocardiographyInvasive (1) Invasive blood pressure",D
Muscle most resistant to the action of non depolarizing muscle relaxants is:,Diaphragm,Head and neck muscles,Upper limbs,Abdomen,"Ref: Ajax Yadav, Short Textbook of Anaesthesia, 1st edition, Page 85Explanation:SEQUENCE OF MUSCLE BLOCKADEFacial muscles are the first muscles to be blocked by both depolarising and nondepolarising muscle relaxants.Diaphragm is the last to be blocked.Sequence of blockade:o Face-Jaw-Pharynx, Larynx- Interco- stalmuscles-Trunk muscles -Limbs muscles-Diaphragm.Sequence of Recovery:o At recovery, muscles recover in reverse order, i.e., first to come is diaphrgam and last to recover are face, pharynx and larynx muscles.Adductor pollicis muscle activity is monitored for neuromuscular blockade. If it shows no activity, it means laryngeal muscles have been blocked already and intubation can be performed.At reversal if there is activity of adductor pollicis. it means power of diaphragm is already back and patient will maintain adequate tidal volume after extubation.Orbicularis oculi is better guide because it corresponds with laryngeal muscles, but technically difficult to measure activity, so not used commonly.",A
"A patient with hypeension, under control by medication falls under which grade",ASA 1,ASA 2,ASA 3,ASA 4,"Ans. b. ASA 2 In a patient with mild systemic disease (no functional limitation), ASA grade is 2. So, ASA grade in hypeensive patient whose BP is controlled, is 2 ASA Grading Class Features P1 A normal healthy patient P2 A patient with mild systemic disease (no functional limitation)deg P3 A patient with severe systemic disease (some functional limitation)deg P4 A patient with severe systemic disease that is constant threat to life (Functionality incapacitation)deg P5 A moribund patientdeg who is not expected to survive without operation P6 A brain dead patient whose organs are being removed for donor purposes E If the procedure is an emergency, the physical status is followed by E.",B
Neostigmine is used for reversing the adverse effect of:,dTC + pancuronium,d TC only,Alcuronium only,Ketamine complication,"A i.e. dTC + Pancuronium As d-TC & Panduronium, both are non-depolarizing muscle relaxant, so neostigmine is used to reverse the drugs.",A
Appropriate size of oropharyngeal airways is measured from ?,Incisor teeth to tragus of the ear,Corner of mouth to angle of mandible,Tip of nose to angle of mandible,Ala of nose to angle of mandible,Oropharyngeal airway Guedel oropharyngeal airway (used to lift the tongue above oropharynx) Take either from the midpoint of the incisor or corner of the lip to angle of the mandible Used in unconscious person; as laryngospasm can occur in conscious person by its use,B
Intraocular pressure is increased by which anesthetic,Ketamine,O2,N20,Isoflurane,"Ketamine may be contraindicated in patients with an open eye injury or other ophthalmologic disorder, in which a ketamine-induced increase in intraocular pressure would be detrimental. ketamine increases all the pressures - blood pressure intracranial pressure intragastric pressure intraocular pressure Ref: Miller's anesthesia 8th edition.",A
To prevent pulmonary aspiration of gastric content in high risk patient which of the following is practiced during intubation.,Rapid sequence induction,BURP maneuver,Pharmacological therapy,All of the above,"Rapid sequence intubation (RSI) is an airway management technique that produces inducing immediate unresponsiveness (induction agent) and muscular relaxation (neuromuscular blocking agent) and is the fastest and most effective means of controlling the emergency airway the cessation of spontaneous ventilation involves considerable risk if the provider does not intubate or ventilate the patient in a timely manner RSI is paicularly useful in the patient with an intact gag reflex, a ""full"" stomach, and a life threatening injury or illness requiring immediate airway control 'modified' RSI is a term sometimes used to describe variations on the 'classic' RSI approach (e.g. ventilation during apnea, titration of induction agents); modified approaches tend to trade an increased risk of aspiration for other benefits (e.g. prevent respiratory acidosis due to apnea from compounding severe metabolic acidosis) INDICATIONS FOR INTUBATION AND MECHANICAL VENTILATION Indications Airway protection and patency in patients with high risk of aspiration like emergency surgery not adequate hour NPO.",A
True about Laryngoscopy & intubation,Hypeension,Tachycardia,| ICT,| Intra ocular pressure,"A i.e. Trendelenburg In trendelenburg position, head end is lowered so due to gravity and weight of intra-abdominal viscera, diaphragm is at its highest level causing compression of lungs; so vital capacity is lowered.",A
Patient on oral lithium therapy. How many ours prior to surgery we stop lithium-,24 hrs,48 hrs,72 hrs,96 hrs,Patient on oral lithium therapy needs to stop taking the medication 24-48 hrs prior to surgery. Lithium may potentiate neuromuscular blocker thus it is stopped prior to surgery.,A
Tracheostomy reduces dead space by,By-passing upper airway,Increased V/Q ratio,Reducing airflow resistance,By all of the above mechanisms,"Impoant effects of tracheostomy on respiratory physiologyTracheostomy decreases dead space as upper airways and nasal cavity are bypassedTracheostomy decreases ventilation/perfusion (V/Q) ratio. Increased dead space increases ventilation/perfusion ratio as the dead space (containing air) is ventilated but not perfused for gaseous exchange. Tracheostomy decreased the dead space, therefore it will decrease the V/Q ratioTracheostomy reduces the airflow resistance(Refer: Morgan and Mikhail's Clinical Anaesthesiology, 5th edition, pg no. 1237)",A
Sodalime circuit is not used in anaesthesia with:,Enflurane,Isoflurane,Trichloroethylene,Methoxyflurane,Trichloroethylene,C
Which muscle relaxant increases intracranial pressure?,Mivacurium,Atracurium,Suxamethonium,Vecuronium,"(C) Suxamethonium # Suxamethonium chloride (Succinylcholine, Sscoline, or colloquially as Suxa) is a medication widely used in emerger cy medicine and anesthesia to induce muscle relaxation, usually to make endotracheal intubation possible> Side effects:> Side effects include muscle pains, acute rhabdomyolysis with hyperkalemia, transient ocular hypertension and increased ICT, constipation and changes in cardiac rhythm including bradycardia, cardiac arrest, and ventricular dysrhythmias.> In patients with neuromuscular disease or burns, a single injection of suxamethonium can lead to massive release of potassium from skeletal muscles with cardiac arrest.",C
Antibiotic potentiating the effect of NM blocker-,Erythromycin,Aminoglycoside,Co-trimoxazole,Nitrofurantoin,"Ans. is 'b' i.e., Aminoglycoside Important interactions of skeletal muscle relaxantso General anaesthetics potentiate competitive blockers in the following order : isoflurane (most), sevoflurane, desflurane, enflurane, Holothane and nitrous oxide (least)..o Anticholinesterase (neostigmine, pyridostigmine & edrophonium) reverse the action of competitive blockers, they can enhance depolarizing neuromuscular blockers.o Calcium channel blockers (verapamil) potentiate both competitive and depolarizing neuromuscular blockers.o Diuretics produce hypokalemia which enhances competitive block.o Diazepam, propranolol and quinidine intensify competitive block.o Aminoglycosides, tetracycline, polypeptide antibiotics, clindamycin and lincomycin can potentiate competitive block.o High doses of glucocorticoids reduce the effect of competitive blockers.",B
An induction agent of choice for poor-risk patients with cardiorespiratory disease as well as in situations where preservation of a normal blood pressure is crucial:-,Thiopentone,Propofol,Etomidate,Ketamine,"Etomidate causes minimal cardiorespiratory depression even in the presence of cardiovascular and pulmonary disease. Etomidate is the mostcardiac stableintravenous agent due to its lack of effect on the sympathetic nervous system and on the function of the baroreceptor. The myocardial oxygen supply-to-demand ratio is well maintained. Hence, etomidate is the intravenous agent of choice in patients withcoronary aery disease, cardiomyopathyandcerebral vascular disease.",C
Emergency tracheostomy is not indicated in,Foreign body larynx,Bilateral vocal cord paralysis,Stridor due to laryngeal growth,Acute severe asthma,Emergency tracheostomy is not indicated in asthma.,D
Local anaesthesia causing methemoglobinemia ?,Procaine,Prilocaine,Etodicaine,Ropivacaine,"Ans. is 'b' i.e., Prilocaine Prilocaine and benzocaine can cause methemoglobinemia. Impoant facts Chlorprocaine is the shoest acting LA. Dibucaine is the longest acting, most potent and most toxic LA. Bupivacaine is the most cardiotoxic LA (Ropivacaine is a newer bupivacaine congener with less cardiotoxicity). o Levobupivacaine (The S (-) enantiomer of bupivacaine) is less cardiotoxic and less prone to cause seizure. o Prilocaine can cause Met haemoglobinemia. Lignocaine is the most commonly used LA. Bupivacaine has the highest local tissue irritancy. Chlorprocaine is contraindicated in spinal anaesthesia as it can cause paraplegia due to presence of neurotoxic preservative sodium metabisulphite. Procaine is the LA of choice in malignant hypehermia",B
All are side effect of succinylcholine except,Myalgias,Raised ICP,Hyperkalemia,Raised BP,The following are the side effects of succinyl choline: Cardiovascular effects: Sinus bradycardia Junctional rhythms Ventricular dysrhythmias Hyperkalemia Myalgia Masseter spasm- Succinyl choline can trigger malignant hypehermia Increased intracranial pressure: Succinylcholine may lead to an activation of the EEG and slight increases in CBF and ICP in some patients. Increased intraocular pressure Increased intragastric pressure,D
Minimum Alveolar concentration  of halothane is,0.74%,1-2%,6%,2%,"Halothane is a potent anesthetic with a MAC of 0.74%. Its blood/gas partition coefficient of 2.4 makes it an agent with moderate
induction and recovery time. It is not a good analgesic and its muscle relaxation effect is moderate.",A
Which supraglottic airway devise offers maximum airway seal during positive pressure ventilation:-,LMA proseal,LMA classic,Igel,Laryngeal tube,Among the supraglottic airway devise proseal has maximum seal Pressure thus has least chance of aspiration.,A
The most physiological intravenous fluid is ?,Normal Saline,5% Dextrose,Ringers Lactate,all,Ringers lactate is considered most physiological fluid with electrolyte composition similar to plasma fluid.,C
