Question,A,B,C,D,Explanation,Answer
"In Cicatricial pemphigoid, which antigen is bound by IgG on the epidermal side of the salt split skin technique?",XVII collagen,Epiligrin,Laminin 5,BP antigen 1 & 2,"Majority cases of mucous membrane pemphigoid or cicatricial pemphigoid demonstrate IgG directed against antigens on the epidermal side of the salt-split skin, which have been identified as BP 180 or XVII collagen. The antigen present on the dermal side is epiligrin (laminin 5).",A
Periosteal new bone formation is seen in:,Caffey’s disease,Hypervitaminosis A,Syphilis,All of the above,"Periosteal new bone formation is seen in:

Caffey's disease or infantile cortical hyperostosis
Hypervitaminosis A
Syphilis, leukemia, Ewing's sarcoma, etc.
Garre's osteomyelitis
Acute osteomyelitis is most frequently caused by which of the following microorganisms (Al 02, 03) (Staphylococcus aureus and Staph Albus)",D
Cell that can form the maximum number of other cells in the body is called?,Totipotent,Multipotent,Pluripotent,Lineage stem cells,"Totipotent cells- can form maximum no of other cells in body e.g. cells of zygote Note: Totipotent cells gives rise to teratoma B - multipotent - gives rise to different types of cells, except cells of placental tissue. C - pluripotent: gives rise to cell belonging to more than one lineage e.g. hematopoietic stem cells",A
A receptor which itself has enzymatic propey is,Insulin receptor,Progesterone receptor,Thyroxine receptor,Glucagonreceptor,Enzymatic propey is seen with insulin receptorRef: KDT 6/e pg 43.,A
Paraganglioma seen in -a) Carotid body tumorb) Thoraxc) Para-vertebral locationd) Para-aortic lymph nodes,ab,bc,acd,abc,"Paraganglioma are clusters of neuroendocrine cells associated with the sympathetic and parasympathetic nervous system.
Paraganglioma is the tumor of neuroendocrine cells of these paraganglia that occurs at various body sites including head, neck, thorax and abdomen.
Most common location of paragangliomas is adrenal medulla, where they are referred to as pheochromocytomas.
Other locations are


Paravertebral ganglion (organs of zuckerkandl and rarely bladder)
Paraganglia related to the great vessels of head and neck, so called aorticopulmonary chain, including carotid bodies (most common); ganglion nodosum of vagus nerve; and clusters located about the oral cavity, nose nasopharynx, larynx, and orbit.


Microscopic features of Paraganglioma are:


Composed of nests (zellballen) of round to oval chief cells (neuroectodermal origin) that are surrounded by delicate vascular septa.
Chief cells stain strongly for neuroendocrine markers such as chromogronin, synaptophysin, neuron specific enolase, CD56 and CD57.
There is a supporting stroma of spindle-shaped cells (sustentacular cells), that are positive for S-100 protein.
Neuroendocrine granules",D
All are preferred sites of insulin administration except?,Buttocks,Thigh,Around the umbilicus,Upper arm,Insulin can be administered over any part of body covered by loose skin. Therefore it can be administered over abdomen except 2 inches around the abdomen.,C
Nicotine replacement therapy is available in all forms EXCEPT,Chewing gum,Lozenges,Patch,Tablets,Tablets REF: Harrison 17'h ed chapter 390 Effective pharmacologic interventions for tobacco addiction (i) First-line therapies Nicotine gum Nicotine patch Nicotine nasal inhaler Nicotine oral inhaler Nicotine lozenge Bupropion Varenicline (ii) Second-line therapies Clonidine,D
SABE is most commonly due to: March 2013,Staphylococcus aureus,Streptococcus pneumonia,Streptococcus viridans,HACEK group bacteria,"Ans:C i.e. Streptococcus viridans Subacute bacterial endocarditis/Endocarditis lenta It can be considered a form of Type III hypersensitivity. It is usually caused by a form of streptococci viridians bacteria that normally live in the mouth and throat (Streptococcus mutans, mitis, sanguis or milleri). Osler's nodes can indicate this condition. Nail clubbing is also often seen in subacute endocarditis. In cases of subacute bacterial endocarditis, the causative organism (streptococcus viridans) needs a previous hea valve disease to colonize and cause such disease. On the other hand, in cases of acute bacterial endocarditis, the organism can colonize on the healthy hea valve, causing the disease.",C
Eye defect by anti Tb drug:,Ethambutol,Pyrazinamide,Rifampicin,Isoniazid,Ans. a. EthambutolRef: Goodman Gilman 13th E/P1074Reversible eye defect in the form of optic neuritis and red-green (green>red) colour blindness can be seen with ethambutol.Hence ophthalmological examination for same is mandatory.These intensity of ocular toxicities are both dose and duration dependent.,A
Fish mouth stenosis in rheumatic hea disease is due to which of the following mechanisms?,Calcification and fibrosis bridging across valvular commissures,Fibrinoid necrosis,Acute inflammation leading to valvular damage,Myxomatous degeneration of the valve,"Fish mouth stenosis in RHD is manifestation of Chronic RHD involving mitral valve which is due to calcification and fibrosis bridging across valvular commissures. RHD is viually the only cause of mitral stenosis. Acute and chronic rheumatic hea disease. A) Acute rheumatic mitral valvulitis superimposed on chronic rheumatic hea disease. Small vegetations (verrucae) are visible along the line of closure of the mitral valve leaflet (arrows). Previous episodes of rheumatic valvulitis have caused fibrous thickening and fusion of the chordae tendineae. B) Microscopic appearance of an Aschoff body in a patient with acute rheumatic carditis. The myocardium exhibits a circumscribed nodule of mixed mononuclear inflammatory cells with associated necrosis; within the inflammation, large activated macrophages show prominent nucleoli, as well as chromatin condensed into long, wavy ribbons (caterpillar cells; arrows). C/D). Mitral stenosis with diffuse fibrous thickening and distoion of the valve leaflets and commissural fusion (arrows, C), and thickening of the chordae tendineae (D). Note neovascularization of anterior mitral leaflet (arrow, D). E). Surgically resected specimen of rheumatic aoic stenosis, demonstrating thickening and distoion of the cusps with commissural fusion. Comparison of the four major forms of vegetative endocarditis. The rheumatic fever phase of rheumatic hea disease (RHD) is marked by small, way vegetations along the lines of closure of the valve leaflets. Infective endocarditis (IE) is characterized by large, irregular masses on the valve cusps that can extend onto the chordae. Nonbacterial thrombotic endocarditis (NBTE) typically exhibits small, bland vegetations, usually attached at the line of closure. One or many may be present. Libman-Sacks endocarditis (LSE) has small or medium-sized vegetations on either or both sides of the valve leaflets.",A
High plasma drug concentration of phenytoin can cause which of the following adverse effects?,Ataxia,Hirsutism,Gum hyperplasia,All of the above,"Cerebellar dysfunction (ataxia, nystagmus and veigo) is seen at toxic plasma concentrations whereas hirsutism and gum hyperplasia is seen at therapeutic concentrations (but on prolonged use).",A
Perifasicular atrophy of muscle fibres is seen in?,Dermatomyositis,Steroid myopathy,Inclusion body myositis,Viral myositis,A distinctive feature of dermatomyositis is atrophy and degeneration of myofibres at the periphery of fasicles (perifasicular) which occurs even in the absence of inflammation.,A
A 40 year old female patient complains of excessive bleeding. Patient gives a history of road traffic accident 5 hours ago and had a lacerated wound on lower back region. Blood grouping test reveals presence of antigen A and antigen B. This system for blood grouping consists of 3 major allelic genes which are located on-,Chromosome 8,Chromosome 9,Chromosome 10,Chromosome 7,"ABO system:

This system consist of 3 major allelic genes; those are A, B and O.
They are located on long arm of chromosome 9.
These genes control the synthesis of blood group antigens A and B.
Based on presence or absence of antigen A and Antigen B, blood is divided into 4 groups i.e. A, B, AB and O.",B
The arrow shows:,Howell Jolly bodies seen in pernicious anaemia,Cabot’s ring seen in pernicious anaemia,Rushton bodies seen in IDA,None of the above,"The image marked with arrow shows Cabot’s rings, punctate basophilia and basophilic stripping.  

The bald tongue is referred to as Hunter’s glossitis or Moeller’s glossitis (seen in pernicious anaemia).
The Bald tongue of Sandwith is seen in pellagra in niacin deﬁciency.
Howell – Jolly bodies and Cabot’s rings, punctate basophilia and basophilic stripping is present.",B
Following is true about Turners syndrome except-,External genitilia are normal,Biscuspid aortic valve,Swelling of nape of neck,Short stature,"Ans. is 'a' i.e., External genitalia are normal Turners syndromeo Turner's syndrome is the most common sex chromosomal disorder in phenotypic females.o Turner's syndrome results from complete or partial loss of one X chromosome (45, X) and is characterised by hypogonadism in phenotypic femalesFeatures of Turner syndrome in childreno The most severely affected patients generally present during infancy with edema (owing to lymph stasis) of the dorsum of the hand and foot and sometimes swelling of the nape of the neck.o Swelling of the neck is related to markedly distended lymphatic channels, producing so called cystic hygroma.o As these infants develop, the swelling subsides but often leave bilateral neck webbing and persistent looseness of skin on the back of the neck.o Congenital heart disease is also common, particularly preducta! coarctation of Aorta and bicuspid Aortic valve,o C.V.S abnormalities are most important cause of mortality in children with Turners syndrome.Features of Turner's syndrome in Adolescents and Adulto Is failure to develop normal secondary sex characteristics.o The genitalia remains infantile, breast development is inadequate and there is little pubic hair,o Nipples are widely spaced.o Turner syndrome is the single most important cause of primary amenorrhoea accounting for approximately '6 of the cases.o Short stature (height rarely exceeds 150 cm ).o The mental status is usually normal but subtle defects in nonverbal, visual spatial information processing have been noted (mental retardation is associated with the presence of extra chromosome not with loss of X chromosome).o Autoantibodies directed to the thyroid gland and upto one half of these patients develop hypothyroidism.o Low posterior hairline, webbing of neck, cubitus valgus, streak ovaries.o Glucose intolerance, obesity and insulin resistance are also seen.",A
Localised langerhans cells histiocytosis affecting head & neck is -,Letterer-siwe disease,Pulmonary langerhans cell histiocytosis,Hand-schuller-christian disease,Eosinophilic granuloma,"Unifocal and multifocal unisystem Langerhans cell histiocytosis(eosinophilic granuloma)is characterised by proliferation of Langerhans cells admixed with variable number of eosinophils , lymphocytes , plasma cell, and neutrophils .Eosinophils are usually , but not always a prominent component of the infiltrate .It typically arises within the medullary cavities of bones, most commonly the calvarium, ribs and femur. ref: Robbins pathologic basis of disease ; 8th edition ; pg 632",D
All these EXCEPT one cross the blood-brain barrier:,Morphine,Dopamine,Propranolol,Ether,Dopamine does not cross BBB. Hence it is administered as levodopa levodopa is the prodrug which is conveed to dopamine in the brain Pg.no.425 K D Tripathi Seventh edition,B
Following is true about furosemide -,It is given only by IV route,It causes mild diuresis,It is used in pulmonary edema,Acts on PCT,"Ans. is 'c' i.e., It is used in pulmonary edema o Intravenous administration of furosemide produces prompt relief in acute pulmonary edema and acute hea failure (Acute LVF). o It is due to vasodilators (venous dilatation) action and not due to diuretic action (in contrast with chronic hea failure, where the symptomatic relieve is due to diuretic action). o IV furosemide causes prompt increase in systemic venous capictance and decreases left ventricular filling pressure (preload) even before the diuretic action becomes apperent. About other options Furosemide can be given i.m. also. It has maximum diuretic action (more than other classes of diuretic). It acts on thick ascending limb of loop of Henle.",C
Macular sparing is seen if the lesion is at,Occipital lobe,Frontal lobe,Lateral geniculate body,Optic tract,"Refer AH Khurana, Comprehensive Textbook of Ophthalmology,5thedition, pg no: 310-311)",A
Empty spasodic agent for the treatment of intestinal colic:,Hyoscine.,Dicyclomine.,Propantheline.,All of the above.,Other than these oxyphenonium and clidinium can also be used.,D
Histamine blocker in stomach act through,Decreasing cAMP in stomach,Increasing cAMP in stomach,Increasing IP3 in stomach,Decreasing IP3 in stomach,Histamine H2 blockersinhibit the action of histamine ongastric H2 receptors thereby decreasing gastric acidity. They were considered a breakthrough in the treatment of peptic ulcer disease when first introduced. Refer kDT 6/e 153,D
"All are side effects of Clozapine, except ?",Granulocytopenia,Seizures,Sedation,Extrapyramidal side effects,"Ans. is 'd' i.e., Extrapyramidal side effects Side effects of clozapine Agranulocytosis Unstable BP & Tachycardia Worsening of diabetes Seisures Urinary incontinence Hypersalivation (sialorrhoea) Weight gain Sedation",D
Which of the following is dihydroorotate dehydrogenase inhibitor?,Methotrexate,Leflunomide,Hydroxychloroquine,Sulfasalazine,"Ans. is 'b' i.e., Leflunomide Important DMARDsMechanism of action* MethotrexateDihydrofolate reductase inhibitor* SulfasalazineSulfapyridine moiety suppresses the generation of superoxide radicals and cytokine production* LeflunomideIs rapidly converted in the body to an active metabolite which inhibits dihydroorotate dehydrogenase.* Hydroxychloroquine* Reduce monocyte IL-1, consequently inhibiting B-cells* Interferes with antigen processing* Stabilizes lysosome and free radical scavenging.",B
"Thalidomide, used for multiple myeloma, is:",Associated with diarrhea,Characterized by enantiomeric interconversions,Metabolized extensively by hepatic,CYP system Safe for use in pregnant females,"ThaThe thalidomide story could well have ended with the tragedy of bih defects in the early 1960s but for a serendipitous finding: in a patient with mania and leprosy, thalidomide given as a sedative dramatically improved the leprotic skin lesions. Despite the major drawbacks of thalidomide - teratogenicity and axonal neuropathy - the drug has acquired a unique, albeit limited, role in the treatment of severe, disabling conditions where standard anti-inflammatory or immunosuppressive therapies have failed. Best studied amongst these are leprosy, Behcet&;s disease, graft-versus-host disease (GVHD) and some dermatoses . Thalidomide proves useful for skin lesions and multiple myeloma. Research into potential uses for thalidomide has determined that thalidomide may be an effective treatment for several conditions. The Food and Drug Administration (FDA) has approved thalidomide (Thalomid) for treating: Skin lesions caused by leprosy (erythema nodosum leprosum) Multiple myeloma REFERENCE: www.mayoclinic.org, www.medscape.com",B
Drug causing peripheral neuropathy is?,Colchicine,Isoniazid,Nitrofurantoin,All of the above,"All of the above REF: Harrison 17' ed chapter 379, Lippincott's pharmacology 6th edition page 64 figure 7.1 Pharmaceutical agents causing peripheral neuropathy : Chloramphenicol Colchicine Dapsone Disulfiram Ethambutol Ethionamide Isoniazid Metronidazole Misonidazole Nitrofurantoin Nitrous oxide Nucleoside analogues (ddC, ddl, 4dT) Pyridoxine Suramin Taxol Thalidomide Vincristine and other vinca alkaloids",D
Mercaptopurine is,Purine analogue,Nucleoside analogue,Pyrimidine analogue,Anti tumor antibiotics,"Ref: Katzung, 14th ed. pg. 960; KDT, 6th ed. pg. 820* Mercaptopurine is synthetic purine used in cancer chemotherapy.* Use: Childhood acute leukemia.",A
Differential expression of same gene depending on parent of origin is referred to as,Genomic imprinting,Mosaicism,Anticipation,Nonpenetrance,"It has now been established that functional differences exist between the paternal and the maternal copies of some genes. These differences arise from an epigenetic process called genomic imprinting, whereby ceain genes are differentially 'inactivated' during paternal and maternal gametogenesis. Maternal imprinting refers to transcriptional silencing of the maternal allele, whereas paternal imprinting implies that the paternal allele is inactivated. At the molecular level, imprinting is associated with methylation of the gene promoter, as well as related events such asmodification of DNA-binding histone proteins, the sum total effect of which is to silence the gene. (Robbins Basic Pathology,9th edition,pg no. 243)",A
Niclosemide is not effective for treatment of ?,T. Saginata,T. Solium,D. Latum,Echinococcus granulosum,"Ans. is 'd' i.e., Echinococcus granulosus Niclosamide o Niclosamide is a highly effective drug against Cestodes -Taenia sag nata, T. solium, Diphyllobothrium latum and H. nana, as well as thread worm. o It acts by inhibiting oxidative phosphorylation in mitochondria and interfering with anaerobic generation of ATP. o It is safe during pregnancy.",D
"4yr old boy presenting with cryptorchidism, sho stature & on auscultation, harsh ejection systolic murmur is heard in pulmonary area. What is the hematological abnormality found in this condition?",Transient Myeloproliferative disorder,Juvenile Myelomelanocytic leukemia,Pseudo Pelger Huet anomaly,Burkitt lymphoma,"The history given in the question is suggestive of Noonan syndrome which is associated with Juvenile Myelomelanocytic leukemia; JMML. JMML BCR/ABL negative entity Regarded as MDS/MPN syndrome Seen in children aged <= 4 years An aggressive disease characterized by proliferation of granulocytic and monocytic series. Peripheral blood: Leukocytosis with neutrophilia, monocytosis, nucleated red blood cells Bone marrow: Hypercellular with granulocytic hyperplasia; Monocytes, 5-30%; Megakaryocyte decreased; Blasts + promonocytes <20% Dysplasia, not prominent; Reticulin fibrosis Associated with Neurofibroma type 1 (NF 1) Noonan syndrome Trisomy 8 mosaicism",B
A patient arrives in the emergency room in a coma and has a serum Ca 2+ of 4.5 mM. You sta a saline infusion of which of the following drugs,Ethacrynic acid,Calcitonin,Hydrochlorothiazide,Spironolactone,"Loop diuretics such as ethacrynic acid , Furosemide increase the excretion of Ca 2+. Ref:- KD Tripathi",A
Which of the following drugs can be used for the treatment of chloroquine resistant malaria in children?,Chloroquine,Doxycycline,Tetracycline,Clindamycin,"CHLOROQUINE It is a rapidly acting erythrocytic schizontocide against all species of plasmodia; controls most clinical attacks in 1-2 days with disappearance of parasites from peripheral blood in 1-3 days. Therapeutic plasma concentrations are in the range of 15-30 ng/ml. However, it has no effect on pre- and exo-erythrocytic phases of the parasite-does not prevent relapses in vivax and ovale malaria. Resistance in P. falciparum is associated with a decreased ability of the parasite to accumulate chloroquine. Veraparnil, a Ca2+ channel blocker, has been found to restore both the chloroquine concentrating ability as well as sensitivity to this drug. For pediatric patients, the treatment options are the same as for adults except the drug dose is adjusted by patient weight. The pediatric dose should never exceed the recommended adult dose. Pediatric dosing may be difficult due to unavailability of non-capsule forms of quinine. If unable to provide pediatric doses of quinine, consider one of the other three options. If using a quinine-based regimen for children less than eight years old, doxycycline and tetracycline are generally not indicated; therefore, quinine can be given alone for a full 7 days regardless of where the infection was acquired or given in combination with clindamycin as recommended above. In rare instances, doxycycline or tetracycline can be used in combination with quinine in children less than 8 years old if other treatment options are not available or are not tolerated, and the benefit of adding doxycycline or tetracycline is judged to outweigh the risk. If infections initially attributed to 'species not identified' are subsequently diagnosed as being due to P. vivax or P. ovale, additional treatment with primaquine should be administered. ESSENTIALS OF MEDICAL PHARMACOLOGY, www.cdc.gov/malaria/diagnosis_treatment K.D.TRIPATHI SIXTH EDITION PAGE NO:785",D
Which is not seen in virus-induced tumour cells?,Loss of orientation,Loss of contact inhibition,Change in size of cells,Formation of micro tumour cells,"(Refer: Robbins & Cotran's - Pathologic Basis of Disease, SAE, 1st edition, Vol I-pg no: 325-327)",C
Which of the following increase in tuberculosis,Asbestosis,Sarcoidosis,Silicosis,Berylliosis,"Silicosis, the most prevalent of the pneumoconioses, is caused by inhalation of crystalline silica paicles. Silica-exposed workers, with or without silicosis, are at increased risk for tuberculosis and nontuberculous mycobacteria-related diseases. The risk of a patient with silicosis developing tuberculosis is higher (2.8 to 39 times higher, depending on the severity of the silicosis) than that found for healthy controls. Various regimens for tuberculosis chemoprophylaxis in patients with silicosis have been studied, all of which present similar efficacy and overall risk reduction to about one half of that obtained with placebo.",C
"Which of the following if combined with Rivastigmine, decreases its efficacy",Selective serotonin reuptake inhibitors,Reversible inhibitor of MAO-A,Tricyclic antidepressants,Atypical antidepressants,"Rivastigmine is used in Alzheimer's disease. It inhibits acetylcholinesterase and increases the level of ACh.
Tricyclic antidepressants have strong anticholinergic actions. Therefore, these can reduce the efficacy of Rivastigmine.
Depression is commonly seen in patients with Alzheimer's disease. The anti-depressants that are used should have minimum anticholinergic activity, therefore SSRI or MAO-inhibitors are preferred.",C
All of the following are true regarding adverse effects of chlorpropamide except: March 2010,Sensitizes the kidney to ADH action,Less incidence of hypoglycemia,More incidence of weight gain,Disulfiram like reaction may occur,"Ans. B: Less incidence of hypoglycemia Chlorpropamide is a long-acting sulphonylurea. It has more side effects than other sulphonylureas and its use is no longer recommended. Like other sulphonylureas, chlorpropamide acts to increase the secretion of insulin, so it is only effective in patients who have some pancreatic beta cell function. It can cause relatively long episodes of hypoglycemia; this is one reason why shoer-acting sulfonylureas such as gliclazide or tolbutamide are used instead. The risk of hypoglycemia makes this drug a poor choice for the elderly and patients with mild to moderate hepatic and renal impairment. Chlorpropamide and other sulphonylureas encourage weight gain, so they are generally not ored for use in very obese patients. Metformin is considered a better drug for these patients. Sulfonylureas should be avoided in patients with hepatic and renal impairment, patients with porphyria, patients who are breastfeeding, and patients with ketoacidosis. Not indicated for patients more than 65 years of age. It may cause facial flushing after the ingestion of alcohol. It may increase secretion of antidiuretic hormone (ADH), which can lead to hyponatremia.",B
As a side effect the metabolic syndrome is most commonly associated with which of the following group of medications?,Anti-anxiety drugs,Anti-depressant drugs,Anti-psychotic drugs,Anti-cholinergic drugs,"Ref: Katzung 14th ed. Atypical antipsychotic drugs are known to cause hyperglycemia, hyperlipidemia, insulin resistance and weight gain. Minimum risk of these metabolic adverse effects is with ziprasidone.",C
Which of the following diseases is not a cause of indirect hyperbilirubinemia?,Rotor syndrome,Criggler Najjar syndrome,Gilbe syndrome,Hereditary spherocytosis,"Unconjugated bilirubinemia Conjugated bilirubinemia Physiological jaundice of newborn Hemolytic anemia (hereditary spherocytosis, etc.) Diffuse hepatocellular disease Criggler Najjar syndrome Gilbe syndrome Biliary tract obstruction Biliary tract disease like primary biliary cirrhosis Primary sclerosing cholangitis Dubin Johnson syndrome Rotor syndrome",A
Drug of choice for chronic myeloid leukemia:,Imatinib,Methotrexate,Sunitinib,Cisplatin,Ans. D. CisplatinImatinib is tyrosine kinase inhibitor which act due to bcr-abl fusion. It is drug of choice for CMI and GIST. Methotrexate is drug of choice for choriocarcinoma. Sunitib can be given for renal cell carcinoma. Cisplatin is indicated for solid tumors.,D
Which of the following is a tumor marker -,Acid hydrolase,Alkaline phosphatase,Melatonin,CPK-MB,"Alkaline phosphatase is a marker for bone tumors. Basic Pathology, Robbins. Page no.: 770",B
"A 20-year-old man is brought to the hospital emergency department by a friend who found him unconscious in his apartment after trying to contact him for 3 days. On arrival, the patient is in a state of respiratory depression. He experiences convulsions for 2 minutes, followed by cardiac arrest. Advanced cardiac life support measures are instituted, and he is stabilized and intubated. On physical examination, there are needle tracks in the left antecubital fossa, miosis, and a loud diastolic heart murmur. His temperature is 39.2deg C. Use of which of the following substances by this man most likely produced these findings?",Cocaine,Ethanol,Flurazepam,Heroin,"Heroin is an opiate narcotic that is a derivative of morphine. Opiates are central nervous system (CNS) depressants, and overdoses are accompanied by respiratory depression, convulsions, and cardiac arrest. The typical mode of administration is by injection. An infection, such as endocarditis explaining his heart murmur, often results from such use because the nonsterile injection technique is employed. Cocaine is most often inhaled rather than injected, and acutely produces a state of excited delirium. Ethanol is typically ingested and, in excess, can lead to coma and death. Flurazepam is most often ingested; excessive use can lead to respiratory depression. Meperidine is an analgesic that can cause respiratory depression and bradycardia in overdosage. Phencyclidine (PCP) is a schizophrenomimetic and is usually ingested; users have a history of erratic behavior. Lysergic acid (LSD) is a hallucinogen.",D
Beta-adrenoceptor blocking agent that should be avoided in patients with renal failure is:,Atenolol,Metoprolol,Propranolol,Esmolol,"(Ref: Katzung, 14th ed. pg. 179; KDT 6th ed. pg. 140 table 10.2)Lipid insoluble b blockers: These agents are mainly excreted by kidney and are therefore contraindicated in renal failure. These have long duration of action. The drugs are:Nadolol (longest acting b blockers)SotalolAtenololAcebutololBetaxololBisoprololCelioprolol",A
Chloroquine toxicity causes all except ?,Loss of vision,Lichenoid eruptions,Convulsions,Weight gain,"Ans. is 'd' i.e., Weight gain Side effects with chloroquine administration are frequent and unpleasant and include Nausea, Vomiting, Anorexia, Uncontrollable itching, Epigastric pain, Uneasiness, Difficulty in accommodation & Headache. Weight gain is not a feature of Chloroquine side effects.",D
Systemic miliary TB occurs when spread occurs ?,Aerial,Venous,Lymphatic,Direct dissemination,"Ans. is 'a' i.e., Aerial Systemic miliary tuberculosis occurs when tubercle bacteria disseminate through the systemic aerial system. Miliarytuberculosis is most prominent in the liver, bone marrow, spleen, adrenals, meninges, kidneys, fallopian tubes, and epi- didymis, but could involve any organ. Miliary pulmonary disease occurs when organisms draining through lymphatics enter the venous blood and circulate back to the lung.",A
"Metastatic calcification is commonly seen in all of the following, except:",Lungs,Kidneys,Gastric mucosa,Cardiac valves,"Dystrophic calcification is seen in cardiac valves (calcific valvular disease). Metastatic calcification principally affects interstitial tissues of: Gastric mucosa Kidneys Lungs Systemic aeries Pulmonary veins The common feature of all these sites, which makes them prone to calcification is that they can lose acid and therefore they have an internal alkaline component orable for metastatic calcification.",D
"A glomerulus-like structure composed of central blood vessel enveloped by germ cells within a space lined by germ cells, is seen in-",Seoli-Leydig cell tumor,Granulosa cell tumor,Endodermal sinus tumor,Sex cord tumor with annular tubules,"Endodermal Sinus (Yolk Sac) Tumor: it is the second most common malignant tumor of germ cell tumor. Endodermal sinus tumor: Malignant aggressive, rapidly growing germ cell tumor. Can also occur in testis. Endodermal sinus tumor: 1. Schiller-Duval body: Glomerulus-like structure composed of a central blood vessel enveloped by germ cells within a space lined by germ cells. 2. PAS-positive hyaline droplets. Tumor Marker: 1. a-fetoprotein 2. a1-antitrypsin. Ref: RAM DAS NAYAK EXAM PREPARATORY MANUAL FOR UNDERGRADUATES 2nd ed. pg no: 683,684",C
A characteristic feature of Still's disease -,Prominent kidney involvement,Rashes,Positive Rheumatoid factor,Neutropenia,"Stills disease is a variant of rheumatoid commonly occurring in adults in 20's and 30's.
Patients characteristics clinical features are:


High spiking fever often up to 40°C.
Sore throat
Evanescent salmon coloured non pruritic rash, seen on chest & abdomen
Lymphadenopathy
Pericardial effusion
Wrist joint involvement


Chances are that you might confuse it with Felty's syndrome so I am giving the important features of both these conditions together",B
"Regarding efficacy and potency of a drug, all are true, EXCEPT:","In a clinical setup, efficacy is more impoant than potency","In the log dose response curve, the height of the curve corresponds with efficacy",ED50 of the drug corresponds to efficacy,Drugs that produce a similar pharmacological effect can have different levels of efficacy,"ED50 refers to Effective Dose of a drug needed to produce a paicular response in 50% of population. It is a quantitative measure of the potency of a drug. Smaller the ED50 value, more potent is the drug. Ref : K.D TRIPATHI 8th ed",C
Bradycirdia is common after injection of:,Midazolam,Succinylcholine,Dopamine,Isoprenaline,KD thripathi. 7th edition. Chapter skeletal muscle relaxants. Page no. 351. Succinyl choline produces bradycardia initially after injection due to activation of vagal ganglia. So option 2 is right.,B
As a side effect the metabolic syndrome is most commonly associated with which of the following group of medications -,Anti-anxiety drugs,Anti-depressant drugs,Anti-psychotic drugs,Anti-cholinergic drugs,"Ans. is 'c' i.e., Anti-psychotic drugs Metabolic syndrome (svndrome-X1 o Metabolic syndrome is a combination of medical disorders that increase the risk of developing cardiovascular disorder and diabetes. o The components of metabolic syndrome are obesity, insulin resistance (resulting in high insulin level), elevated serum triglyceride and LDL, low HDL and hypeension. o Antipsychotics can cause weight gain, diabetes and metabolic syndrome. o Antipsychotics commonly implicated are clozapine, olanzapine, chlorpromazine and thioridazine.",C
Dysguesia is side effect of,Captopril,Enalapril,Ramipril,Lisinopril,"Ans. a (Captopril). (Ref. Harrison's medicine, 16th ed., Table 230-8, Pg 1474)ADVERSE EFFECTS OF CAPTOPRIL =# Cough, Angioedema, Proteinuria, Taste changes, hypOtension, Pregnancy problems (fetal renal damage), Rash, Increased renin, Lower angiotensin II. Also hyperkalemia, Leukopenia>Pancytopenia, Urticarial rash and ARF in bilateral RASEducational point:# Fosinopril excreted more in bile than others.# Losartan is an angiotensin II receptor antagonist. It is not an ACE inhibitor and does not cause cough.",A
Imatinib primarily acts on?,BCR-ABL,Tyrosine kinase,PGDFR,None.,"ANSWER: (B) Tyrosine kinaseREF: Harrison 17th edition chapter-104, Goodman &GiIlman 2008 edition page 895Imatinib is the drug of choice for chronic phase of CMLMOA:Imatinib inhibits protein tyrosine kinase activities of ABL and its activated derivatives v-ABL, BCR-ABL, and EVT6-ABL, the platelet-derived growth factor receptor (PDGFR), and KIT receptor tyrosine kinases.Adverse effects:Imatinib is administered orally. The main side effects are fluid retention, nausea, muscle cramps, diarrhea, and skin rashes. The management of these side effects is usually supportive. Myelosuppression is the most common hematologic side effect. Myelosuppression, while rare, may require holding drug and/or growth factor support. Doses <300 mg/d seem ineffective and may lead to development of resistance.",B
Probenecid does NOT decrease the renal excretion of the following drug:,Ketoprofen,Methotrexate,Rifampin,Penicillin,"Probenecid decreases the biliary secretion of rifampin, leading to higher plasma concentrations. Probenecid inhibits the tubular secretion of drugs, such as: Methotrexate Active metabolite of clofibrate Inactive glucuronide metabolites of NSAIDs such as naproxen, ketoprofen, and indomethacin Penicillin Cephalosporins Ref: Grosser T., Smyth E. (2011). Chapter 34. Anti-inflammatory, Antipyretic, and Analgesic Agents; Pharmacotherapy of Gout. In L.L. Brunton, B.A. Chabner, B.C. Knollmann (Eds), Goodman & Gilman's The Pharmacological Basis of Therapeutics, 12e.",C
The pathological appearance in pseudomembranous colitis consists of -,Necrosis and gangrene,Small ulceration with slough,Serositis with covered by membrane,Excessive ulceration in serosa,"Pseudomembranous colitis is an acute colitis characterised by the formation of an adherent inflammatory exudate (pseudomembrane) overlying sites of mucosal injury. The mucosal injury is in the form of superficial necrosis (small ulcerations). The necrotic mucosa and exudate remain adherent to the mucosal surface as yellow plaques or membranes (slough).
Remember: The Most common cause of pseudomembranous colitis is:
C. Difficile (a normal gut commensal) (caused by exotoxins A and B).
But, pseudomembrane formation is not restricted to C. Difficile. It may also occur after any mucosal injury as in ischemic colitis. Volvulus, and with necrotizing infections such as staphylococci, shigella, candida, and necrotizing enterocolitis.",B
