Question,A,B,C,D,Explanation,Answer
Complication of empyema are A/E -,Empyema necessitans,Bronchopleural fistula,Osteomyelitis,Pneumonia,Answer is 'd' i.e. Pneumonia Penumonia is the most common cause of empyema and not a complication Complications of Empyema Empyema necessitans (spontaneous decompression of pus through the chest wall) Chronic empyema (with entrapped lung and pulmonary restrictive ds) Osteomyelitis or chondritis of the ribs or veebrae Pericarditis Mediastinitis Bronchopleural fistula Dissseminated inf. of the central nervous system,D
Varicose vein surgery is contraindicated in -,Varicose ulcers,Deep vein Thrombosis,Pigmentation Over limb,Hemorrhoides,"Ans. is 'b' deep vein Thrombosis Ref Bailey & love, 24/e, p 963 (23/e, p 245)Surgical treatment of varicose vein is widely used and is effecive in removing varicose veins of the main saphenous trunks, as well as their tributaries, down to a size of about 3 mm. Veins smaller than this are best treated by Sclerotherapy. Surgical removal of varices is inappropriate where these form a major part of the venous drainage of the limb, for example where a deep vein thrombosis has destroyed the main axial limb veins and the pt. relies on the superficial veins.' - Bailey & Love",B
Most of the anaesthetic drugs are detectable by entropy monitoring except:,Isoflurane,Halothane,Nitrous oxide,Sevoflurane,"Entropy monitoringis a method of assessing the effect of ceain anaesthetic drugs on the brain's EEG. It was commercially developed by Datex-Ohmeda, which is now pa of GE Healthcare. Entropy is a quantitative EEG device which captures a single-lead frontal EEG a 3-electrode sensor applied to the patient's forehead. The system relies on a method of assessing the degree of irregularity in electroencephalogram(EEG) signals. The principle is that the irregularity of an EEG signal decreases with increasing brain levels of anaesthetic drugs and that the entropy is a measure of that irregularity. Entropy monitors generate two numbers that are derived from different to frequency bands used. The State Entropy (SE) is calculated from the 0.8Hz to 32Hz range, whereas the Response Entropy (RE) uses frequencies up to 47Hz. Electromyogram activity is more predominant in those higher frequencies, and so the Response Entropy may respond more quickly when muscle activity is present. Published studies show that Entropy values do relate to clinical levels of anaesthetic depth. Most of the commonly-used anaesthetic drugs are detectable by Entropy monitoring, a notable exception being nitrous oxide, in common with BIS monitoring. Other vital signs such as pulse, hea rate, blood pressure, and movement are indirect indicators of consciousness, but are unreliable. When these are combined with expired gas analysis of inhalational anaesthetic agents, an experienced anaesthetist can be confident a patient is unconscious and not aware of their surroundings.",C
What is pin index of O2-Co2 (Co2 < 7.5%):-,"2,6","1,6","4,6","3,6","Gas Index Pins Oxygen 2,5 Nitrous oxide 3,5 Cyclopropane 3,6 O2-CO2 (CO2<7.5%) 2,6 O2-CO2(CO2>7.5%) 1,6 O2-he(He>80.5%) 4,6 O2-he(He<80.5%) 2,4 Air 1,5 Nitrogen 1,4 N2O-O 7",A
Squamous cell carcinomas of the esophagus most commonly occur,At the GEJ,Middle 1/3rd,In the lower thoracic esophagus,Evenly distributed throughout the esophagus,- MC type of CA Esophagus World Wide - Squamous cell carcinoma- MC type of CA in western countries - Adenocarcinoma- MC site of Squamous cell carcinoma - Middle 1/3rd- MC site of Adenocarcinoma - Lower 1/3rd- MC site of CA Esophagus overall - Middle 1/3rd- SCC - more common in low socio-economic status- Adenocarcinoma - more common in high socio-economic status,B
"26 year old female patient wanted epidural for labor analgesia. She was given 12ml of 0.25% bupivacaine immediately after this she developed hypotension, bradycardia, respiratory difficulty. Which of the following explains condition of the patient.",Vasovagal attack,Systemic toxicity,Total spinal anaesthesia,Drug allergy,"Total spinal is one of the dreaded complication of epidural anaesthesia. Accidental puncture of dura, while giving epidural will cause whole volume (10-20ml) of drug to enter subarachnoid space.
This can reach upto cranium producing total spinal block.",C
"A healthy appearing, 8-year-old boy is evaluated for an abdominal mass, felt by his mother during a bath. What is the most likely diagnosis?",Lymphoma,Rhabdomyosarcoma,Wilms' tumor,Neuroblastoma,"Typically Wilms' tumor is noted in well appearing children in the second half of their first decade of life. These masses are usually felt or visually noted by parents during routine daily activities. Children with neuroblastoma are usually younger and appear quite sick. Although unlikely, renal cell carcinoma has been reported in children and diagnosis is only based on final pathology results. Lymphoma should be ruled out based on CT scan findings and subsequent needle-guided biopsy, since treatment is usually nonsurgical.",C
Achondroplasia shows which of the following type of inheritance,Autosomal Dominant,Autosomal Recessive,X-Linked Dominant,X-Linked Recessive,"Achondroplasia The most common type of sho-limbed dwarfism. There is Autosomal Recessive inheritance While it's sometimes hereditary, most cases of dwarfism are caused by a genetic mutation. This is why the majority of people with achondroplasia are born to parents of average height Pain areas: in the back Also common: bow legs, enlarged head, excessive inward curvature of the lower back, hunched back, middle ear infection, misaligned teeth, physical deformity, sho fingers, sho stature, or snori Ref: internet sources",A
Most common location of thyroglossal cyst is,At Foramen cqecum,Subhyoid,Supra hyoid,Between hyoid & thyroid,Thyroglassal cyst is the reminant of thyroglossal tract and stihyoid thyroglossal cyst is the most common subtype.,B
"In a patient with head injury, eye opening is seen with painful stimulus, localizes the pain and there is inappropriate verbal response. What would be the score on Glasgow coma scale:",8,9,10,11,Ans is 'c' i.e. 10 Feature Score Eye opening to pain 2 Inappropriate words 3 Localizes pain 5 Total 10,C
The duration of spinal anaesthesia is based directly on:,Dose,Height,Age,Total body fat,The duration of spinal anesthesia depends upon the dose The level and duration is directly based on dose of the drug,A
"A patient complaints of breathlessness following a trauma, Trachea shifted to opposite side, Resonant percussion note seen with absent Breath sounds. On inseion of ICD- False statement is",Direction of inseion is posterior and superior,Inseion area must be palpated digitally to confirm the position,Inseed into the 4th or 5th ICS along the scapular line,Done in Upper pa of Lower Rib to avoid vessel and nerve injury,Inseing a Chest Drain Site of Inseion: - Triangle of Safety Boundaries: - * Anterior to mid axillary line * Above level of nipple * Below and Lateral to Pectoralis Major * This usually gets inseed in 5th ICS level. Steps in ICD Inseion: - * Meticulous Sterility maintained. * Inse Local Anaesthesia up to Pleura. * Sharp dissection to Cut only the Skin. * Blunt Dissection using Aery Forceps through the muscles- Intercostal and Serratus anterior. * Oblique tract is made so that the parietal pleura is tunnelled to avoid leakage of air. * Drain in cases of Haemothorax and Pneumothorax should aim the Apex * Drain for Empyema and Pleural effusion should be at Base * Drain should pass at the upper edge of the rib to avoid injury to neurovascular bundle. * Don't apply any clamp in Drain as it may be forgotten to be removed. * Don't apply suction also. * Bubbling drain must never be clamped. * Check the drain location by a Chest X ray. Ref:- Bailey and Love 27th Edition; Pg num:- 920,C
A 40-year-old man is found to have severe metabolic acidosis with a high anion gap. What is the most likely cause?,Diarrhea,Methanol ingestion,Proximal renal tubular acidosis,Distal renal tubular acidosis,"Methanol ingestion results in increased production of lactic acid causing an increased anion gap. The other conditions listed are associated with normal anion gap. Diarrhea, proximal renal tubular acidosis, and ureterosigmoidostomy result in loss of bicarbonate, while distal renal tubular acidosis is associated with decreased acid excretion.",B
"A female infant is born approximately 10 weeks prematurely (at 30 weeks) and weighs 1710 gm. She has respiratory distress syndrome and is treated with endogenous surfactant. She is intubated endotracheally with mechanical ventilation immediately after bih. Over the first 4 days after bih the ventilator pressure and the fraction of inspired oxygen are reduced. Beginning on the fifth day after bih, she has brief desaturations that become more persistent. She needs increased ventilator and oxygen suppo on the seventh day after bih. She becomes cyanotic. Fuher examination, echocardiogram, and x-rays reveal left atrial enlargement, an enlarged pulmonary aery, increased pulmonary vasculature, and a continuous machine-like murmur. Which of the following is the most likely diagnosis?",Persistent foramen ovale,Patent ductus aeriosus,Ventricular septal defect,Pulmonary stenosis,"Patent ductus aeriosus. The presence of a murmur could be indicative of any of the conditions. The presence of a continuous machine-like murmur is indicative of a patent ductus aeriosus (PDA). Usually, as in this case, the premature baby with PDA does not acutely become cyanotic and ill, although brief desaturations can occur that become more persistent. An atrial septal defect (ASD), such as a persistent foramen ovale, could be eliminated from the diagnosis because the murmur would be heard as an abnormal splitting of the second sound during expiration (answer a). A patent foramen ovale is a common echo finding in premature babies and is usually not followed up unless it appears remarkable to the pediatric cardiologist or there is a persistent murmur. A patent foramen ovale might result in only minimal or intermittent cyanosis during crying or straining to pass stool. A murmur caused by a ventricular septal defect (VSD, answer c), occurs between the first and second hea sounds (S1and S2) and is described as holosystolic (pansystolic) because the amplitude is high throughout systole. Pulmonary stenosis would be heard as a harsh systolic ejection murmur (answer d). PDA refers to the maintenance of the ductus aeriosus, a normal fetal structure. In the fetus, the ductus aeriosus allows blood to bypass the pulmonary circulation, since the lungs are not involved in CO2/O2exchange until after bih. The placenta subserves the function of gas exchange during fetal development. The ductus aeriosus shunts flow from the left pulmonary aery to the aoa. High oxygen levels after bih and the absence of prostaglandins from the placenta cause the ductus aeriosus to close in most cases within 24 hours. A PDA most often corrects itself within several months of bih, but may require infusion of indomethacin (a prostaglandin inhibitor) as a treatment, inseion of surgical plugs during catheterization, or actual surgical ligation.",B
Total gastrectomy is preferred for which type of gastric cancers,Proximal Cancer,Distal Cancer,Ulcerating cancer in the body,Polypoidal cancer in the antrum,Answer- A. Proximal CancerFor proximal gastric carcinomaFor extensive tumors (eg. Linitis plastica)To obtain negative margins for distal gastric carcinoma,A
The advantage of this type of pancreatic drainage in pancreas transplant is:,Easy measure of amylase,Fast diagnosis of rejection,Less amount of leak,Physiological drainage,Ans. (d) Physiological drainage* The image shows Enteric drainage of pancreas.* This is more physiological and there are less urinary complications.* Disadvantage is difficulty in measuring amylase level which is easy in bladder drainage.,D
Treatment of SNT with Lymph node involvement,Radiation,Chemotherapy,Excision of nodule,Total thyroidectomy + MRND,Ans. (d) Total thyroidectomy + MRNDRef: Page 1537/ Schwartz 10th edition* A solitary nodule with Lymph node involvement is suggestive of Papillary cancer. So Total thyroidectomy + MRND on that side is must.,D
"A 24-year-old woman has been unsuccessful becoming pregnant. She is admitted with abdominal pain; her blood pressure is 90/60 mm Hg, her pulse rate is 102 beats per minute (bpm), and her hematocrit (HCT) is 28%. Features of ectopic pregnancy include which of the following?",Elevated blood pressure on assuming an erect position,Pulsus paradoxus,Tenderness below the right subcostal margin (Murphy's sign),Pain referred to the supraclavicular region,Free bleeding in the peritoneal cavity results in pain referred to the right supraclavicular region due to diaphragmatic irritation. Patients who present with abdominal pain and (usually) a history of missed menstruation should undergo a pregnancy test after hospital admission.,D
"A young girl presents with primary amenorrhoea, grade V thelarche, grade II pubarche and no axillary hair. The most probable diagnosis is",Testicular feminization,Mullerian agenesis,Turner syndrome,Gonadal dysgenesis,"Testicular feminization syndrome - complete androgen resistance, presents as phenotypic young woman without sexual hair but with normal breast development and primary amenorrhoea Complete testicular feminization is a common form of male pseudohermaphroditism. It is the 3rd most common cause of primary amenorrhea after gonadal dysgenesis and congenital absence of the vagina. The features are characteristic. Namely, a ''woman' is asceained either because of inguinal hernia (prepubeal) or primary amenorrhea (postpubeal). The development of the breasts, the habitus, and the distribution of body fat are female in character so that most have a ''truly' feminine appearance. Axillary and pubic hairs are absent or scanty, but some vulval hairs are usually present. Scalp hairs are that of a normal woman, and facial hairs are absent. The external genitalia are unambiguously female, and the clitoris is normal. The vagina is sho and blind-ending and may be absent or rudimentary. All internal genitalia are absent except for testes that contain normal Leydig cells and seminiferous tubules without spermatogenesis. The testes may be located in the abdomen, along the course of the inguinal canal, or in the labia majora.",A
An arteriogram of a 75-year-old man is shown below. He have an asymptomatic carotid bruit. The patient has mild hypertension and mild COPD. The current recommendation for this man would be,Medical therapy with aspirin 325 mg/day and medical risk factor management,Medical therapy with warfarin,Angioplasty of the carotid lesion followed by carotid endarterectomy if the angioplasty is unsuccessful,Carotid endarterectomy,"In a recent prospective, randomized, multicenter trial involving 1662 patients in a study known as the Asymptomatic Carotid Atherosclerosis Study, patients with asymptomatic carotid artery stenosis of 60% or greater reduction in diameter and whose general health made them good candidates for elective surgery were found to have a significant reduction in the 5-year risk for ipsilateral stroke with surgery compared with medically treated cohorts (5.1 vs. 11.0%). Medically treated patients were treated with aspirin on a daily basis. Warfarin has not been shown to be effective in the management of patients with carotid disease. Angioplasty of carotid stenoses is being performed in some institutions on a purely investigational basis and to date has not replaced surgery as the treatment for high-grade carotid stenoses.",D
Which of the following nerve fibers are first to get blocked by local anaesthetic,A alpha,A beta,A delta,A gamma,"Sequence of block is
Beta > A delta = C > A gamma > A beta >A alpha",C
Gallow's traction is used in a child with a fracture. Which of the following fracture is treated by Gallow's traction?,Neck of femur,Shaft of femur,Shaft of tibia,Tibial plafond,"Gallow's traction: It is used for the fracture of shaft of the femur in children from bih to 2 years. This traction continued till sufficient callus forms (3-6 weeks). In this traction, the weight of the body provides counter traction and the fracture is reduced. Ref: Essential Ohopaedics by Maheshwari, 3rd edition, Page 122.",B
Induction agent for Day care Surgery is :,Ketamine,Diazepam,Thiopentone,Propofol,"Ans. is 'd' i.e. . Propofol 'Propofol is used as in inducing agent for day care surgery because residual impairment is less marked and incidence of post-operative nausea and vomiting is Cow.' - KDT, 4/e, p 352Also remember Day care anaesthesia - isoflurane* Day care analgesic - Afentanyl*.",D
Entero enteric fistula is found in all except: March 2007,Crohn's disease,Colo-rectal malignancy,Actinomycosis,Ulcerative colitis,"Ans. D: Ulcerative colitis The principal causes of entero-enteric fistula in order of frequency are: Crohn's disease Diveicular disease Colo-rectal malignancy Radiation enteritis Tuberculosis Actinomycosis Complications of severe ulcerative colitis: Fulminating colitis Toxic dilatation (megacolon) Perforation Severe hemorrhage Cancer Extra-ailmentary manifestations-skin lesions, eye problems, liver disease, Sclerosing cholangitis is amongst the extraintestinal manifestation of ulcerative colitis.",D
The posture associated with the greatest lumbar intradiscal pressure is,"Sitting, trunk flexed","Sitting, trunk erect","Standing, trunk flexed","Standing, trunk erect","Nachemson's studies showed the lowest intradiskal pressure occurred with the patient supine, followed by the lateral decubitus position. Sitting produced higher intradiskal pressures than standing, and pressures were increased in both positions by flexion of the trunk. The highest pressures encountered were with the patient sitting with the trunk flexed.",A
Killians incision is used for,Submucous resection of nasal septum,Mastoid antral lavage,Mandibulectomy,Parotidectomy,"Ans. is 'a' i.e., Submucous resection of nasal septum Killians incision* It is used for submucous resection (SMR) of the nasal septum.* It is used to address the septal deviations posterior to the nasal septum.* It is made usually along the convex side of the deviation from superiorly along the mucocutaneous junction of the nasal septum to the nasal floor and can be modified to extend laterally along the floor of the nose, so that tunneling under the submucoperichondrial flap can proceed without tearing the mucosa.* One should be mindful that the tearing of the submucoperichondrial flaps on the apposing sides can result in septal perforations which are especially symptomatic at the anterior inferior aspect of nasal septum.",A
Most common nodule found in the liver is -,Hepatoma,Hamartoma,Hemangioma,Cholangioadenoma,Hemangioma is the most common benign tumor of the liver.,C
Which of the following is/are not included in management of intra aicular fracture: Ahrodesis Excision Aspiration K- wire Plaster of paris cast,"1,2,3","2,4,5","1,2,3,4",None.,"'All listed methods are used in the management of intra aicular fracture' Intra aicular fracture Intra aicular fracture are those in which the break crosses into the surface of a joint. They always result in some degree of cailage damage. Ideally the joint surface should be restored to their original position and held there strongly enough that movement may be staed in the early postoperative period. some permanent loss of motion is to be expected and joint may develop degenerative ahritis as a result of the injury. Principles of intra aicular fracture Immobilization of intra aicular fracture results in joint stiffness Immobilization of aicular fracture, treated by open reduction and internal fixation, results in much greater stiffness. Depressed aicular fragments, which do not reduce as a result of closed manipulation and traction, are impacted and will not reduced by closed means. Major aicular depression do not fill with fibrocailage and the instability which results from their displacement, is permanent. Anatomical reduction and stable fixation of aicular fragment is necessary to restore joint congruity. Immediate motion is necessary to prevent joint stiffness and to ensure aicular healing and recovery. This require stable internal fixation. Radius fracture treatment ( of distal end i.e. intra aicular pa) K wire fixation may be helpful for smaller fragments. cast immobilization is indicated for nondisplaced fracture, displaced fractures with a stable fracture pattern. The cast should be worn approximately 6 weeks or until radiographic evidence of union has occured. Ahrodesis In this operation, fusion is achieved between the bones forming a joint so as to eliminate any motion at the joint. An ahrodesis is used most often for a painful, stiff joint. It is also performed for grossly unstable joints in polio etc. It is also used for grossly unstable joint due to trauma. Excision and aspiration of hematoma excision of damaged poion of bone and aspiration of intra aicular hematoma, are also included in management of intra aicular fracture. Ref: AO principles of fracture management by Raudi, Page 106-09.",D
Among the following the primary indication of sentinel lymph node biopsy -,Metastasis,Breast lump with palpable axillary lymphnode,Breast lump without palpable axillary lymph node,None.,"Ans. is 'c' i.e., Breast lump without palpable axillary lymph node Management of axillary lymph nodes in CA Breast* Earlier dissection of axillary lymph nodes (level I and II) was performed to assess the lymph node status (i.e. presence or absence of occult metastasis)* Now Sentinel lymph node biopsy is considered the standard for evaluation of the axillary lymph nodes for metastasis in women who have clinically negative lymph nodes, (the sentinel lymph node is the first regional lymph node to receive tumor cells that metastasize along the lymphatic pathway from the primary breast cancer)* Axillary Lymph node dissection is performed for clinically palpable axillary lymphnodes or metastatic disease detected in sentinel lymph node biopsy.",C
Yoyo reflex is seen in:,Duplication of ureter,Polycystic Kidney,Melluary sponge kidney,Pseudo Kidney,Ans. (a) Duplication of ureterRef Internet sources* Yo-Yo Reflex is seen in duplicated system of ureter* The ectopic ureter joins the normal ureter and may cause obstruction or reflex. This is known as Yo-Yo reflex,A
Highly lipid soluble agent would be associated with –,Potent anaesthetic action,Potent analgesic action,Excellent muscle relaxant action,Least respiratory depression,High lipid solubility (high oil-gas partition coefficient) indicates high potency.,A
After Hyperventilating for some time holding the breath is dangerous because –,Decrease CO2 shift the O2 dissociation curve to the left,Alkalosis can lead to tetany,It can lead to CO2 Narcosis,"Due to lack of stimulation by CO2, anoxia can go into dangerous levels","In our body its not O2, but CO2 that maintains the respiratory drive (though main function of respiration is to maintain adequate oxygen level in the body)
Thus its not hypoxia but hypercarbia that is required to inform the brain that respiration is inadequate.
If normally a person holds his breath he will soon have decrease O2 level (hypoxia) and increase CO2 level (hypercarbia)
Hypercarbia will stimulate the brain and increase the respiratory drive, forcing the person to take breath.

Lets see what happens when a person hyperventilates

Decreased PaCO2 of blood
Normal O2 saturation (despite hyperventilation arterial O2 saturation remains same as blood is almost fully saturated at normal ventilation rate)

Lets see what happens when such a person holds his breath.
● Soon his blood O2, level will fall (hypoxia) but his blood CO2 level will be normal or below normal (as he was hypocapnic due to hyperventilation)
● His blood O2 level will continue to fall, but his CO2 level will still be not high enough to stimulate the brain for respiratory drive.

The person will continue to hold his breath and his O2 level may fall to lethal levels without any respiratory drive (his brain is still unaware that he is in danger of dying from hypoxia).",D
Molecular classification of breast cancer is based on:,Serum hormone levels,Expression of hormone receptors (ER/PR),In-vitro response to chemotherapeutic agents,Gene expression profiling,"Molecular classification of breast cancer is based on gene expression profiling. 'Gene expression profiling, which can measure the relative quantities of mRNA for essentially every gene, has identified five major patterns of gene expression in the NST group: luminal A, luminal B, normal, basal-like, HER2 positive. These molecular classes correlate with prognosis and response to therapy, and thus have taken on clinical impoance'.",D
Which one of the following does not indicate good prognosis in Ca penis,Size less than 2 cm,No regional lymph node metastasis,No invasion of subepithelial connective tissue,No metastases,"It is not the size of the tumor but the invasion of the lesion into the corpora or overlying facial layers, which are prognostic indicator.",A
All of the following are associated with the gall stones except: March 2005,Acute pancreatitis,Acute cholecystitis,Acute appendicitis,Acute cholangitis,Ans. C: Acute appendicitis Effects and complications of gall stones: In the gall bladder - Biliary colic - Acute cholecystitis Chronic cholecystitis - Empyema of gall bladder - Mucocele - Perforation In the bile ducts - Biliary obstruction - Acute cholangitis - Acute pancreatitis In the intestine - Intestinal obstruction (gallstone ileus) - Cancer of the gallbladder (rarely) - Jaundice - Pancreatitis,C
&;Tennis elbow&; is characterized by,Tenderness over the medial epicondyle,Tendinitis of common extensor origin,Tendonitis of common flexer origin,Painful flexion and extension,".tennis elbow(lateral epicondylitis) characterised by pain and tenderness at the lateral epicondyle of the humerus due to non-specific inflammation of the origin of extensor muscle of the forearm. clinical features-tenderness ,precisely localized to the lateral epicondyle of the humerus.pain is aggravated by putting the extensor tendons to a stretch (Ref: Essential ohopaedics, Maheshwari and Mhaskar,5th edition,pg no. 302)",B
"Aicular cailage, true is ?",Very vascular structure,Surrounded by thick perichondrium,Has no nerve supply,Fibrocailage,"Ans. is 'c' i.e., Has no nerve supply Aicular cailage The aiculating surfaces of a synol joint are covered by aicular cailage. The aicular cailage has following features :- It is a hyaline cailage It is avascular It is non-nervous (no nerve supply) Does not have perichondrium Aicular cailage lacks the ability to properly repair and regenerate itself. The regeneration capacity of cailage is limited due to its isolation from systemic regulation, and its lack of of vasculature and nerve supply.",C
Gynecomastia is seen in all except;,Klinefelter's syndrome,Liver failure,Kidney failure,Leprosy,Kidney failure is not associated with Gynaecomastia Associated with Gynaecomastia Idiopathic Hormonal Stilbestrol therapy for prostate cancer Teratoma of the testis Anorchism and After castration Leprosy Liver failure Klinefelter's syndrome,C
A person with renal transplant developed infection of graft within 2 month. Most probable cause of infection is ?,Polyoma BK virus,CMV,Hep. C,Herpes simples,"The question indirectly asks most common viral infection post transplant . The risk of viral infection is highest during the first 6 months after transplantation and the most common problem is CMV infection. CMV disease may arise because of either reactivation of latent infection or primary infection that can be transmitted by an organ from a CMV-positive donor. Recipients at most risk from CMV infection are those who are CMV seronegative and receive an organ from a CMV-seropositive donor (about half of all UK donors are CMV seropositive). CMV disease typically presents at 4-8 weeks with a high swinging fever, lethargy and leukopenia. The severity of the disease is variable and the clinical picture depends on the organ system most affected. It may present as: pneumonia , gastrointestinal disease , hepatitis , retinitis , encephalitis. Severe CMV disease is potentially fatal. Prophylaxis for CMV consists of administration of antiviral agents but less effective alternatives. A diagnosis of active CMV infection is confirmed by PCR to detect viral DNA in whole blood, and by histological examination of biopsy material.Treatment is with antiviral agents ref : Bailey 27th ed , chapter 82 , pg no : 1541",B
"Steatorrhea and megaloblastic anemia, occurring in a patient after bowel resection, is caused by a failure to absorb what? SELECT ONE.",Peptides,Bile salts,Meissner and Auerbach plexus deficiency,Vagus nerve excess,"The jejunum is the first part of the alimentary tract and, therefore, is the primary site of absorption of nearly all nutrients. It is unable to absorb vitamin B12 and bile salts, which are absorbed exclusively in the ileum. If the ileum is transposed between the duodenum and the jejunum, it undergoes compensatory hypertrophy and takes over the function of the jejunum and becomes the primary site of nutrient absorption.",B
Pa I of the 'death ceificate' deals with,"Immediate cause, and the direct underlying cause which staed the whole trend of events leading to death",Any significant associated diseases that contributed to the death but did not directly lead to it.,Approximate interval between onset and cause of death.,The mode of death,"According to death ceificate recommended by WHO for international use, Pa I deals with the immediate cause, and the direct underlying cause (the essence of international death ceificate) which staed the whole trend of events leading to death. But it does not include the mode of dying. In pa II is recorded any significant associated disease that contributed to the death but did not directly lead to it.",A
Maximum FiO2 which can be given through a nasal oxygen catheter:-,1,0.6,0.2,0.44,"A nasal cannula is generally used wherever small amounts of supplemental oxygen are required, without rigid control of respiration, such as in oxygen therapy. Most cannulae can only provide oxygen at low flow rates--up to 5 litres per minute (L/min)--delivering an oxygen concentration of 28-44%. Rates above 5 L/min can result in discomfo to the patient, drying of the nasal passages, and possibly nose bleeds (epistaxis). Also with flow rates above 6 L/min, the laminar flow becomes turbulent and the oxygen therapy being delivered is only as effective as delivering 5-6 L/min. The nasal cannula is often used in elderly patients or patients who can benefit from oxygen therapy but do not require it to self respirate. These patients do not need oxygen to the degree of wearing a non-rebreather mask. It is especially useful in those patients where vasoconstriction could negatively impact their condition, such as those suffering from strokes.",D
For anesthesiology mild systemic disease included in ASA grade-,1,2,3,4,"Ans. is 'b' i.e., 2 ASA GradePatient conditionASA 1Normal healthy patient (no physical or mental illness)ASA 2Mild systemic disease not limiting functional activity(mild heart disease, DM, Mild hypertension, Anemia, Old age, obesity, mild chronic bronchitis)ASA 3Severe systemic disease that limits activity but not incapaciating (Angina, Severe DM, cardiac failure)ASA 4Severe systemic disease that is life-threatening(Marked cardiac insufficiency; presistent angina; severe renal, respiratory or hepatic insufficiency)ASA 5Moribund patient who is not expected to survive without operationASA 6Brain dead patient (for organ donation).",B
Organism associated with fish consumption and also causes carcinoma gallbladder:,Gnathostoma,Anglostrongyloidosis cantonensis,Clonorchis sinensis,H. dimunata,"• Clonorchis sinensis is a liver fluke, acquired by ingestion of raw or inadequately cooked freshwater fishes.
• In human body, it lives within bile ducts and causes inflammatory reaction leading to cholangiohepatitis and biliary obstruction.
• It is a well known risk factor for cholangiocarcinoma.
• It is a rare, but mentioned risk factor for carcinoma gallbladder.",C
Which of the following condition should be given most priority in case of fracture:,Open fracture,Dislocated fracture,Vascular injury,All,A. i.e. Open fracture B. i.e. Dislocated fracture << C. i.e. Vascular injury,D
Hernia containing another viscus as posterior wall is known as.,Hernia en glissade,Richter Hernia,Maydl Hernia,Spigelian hernia,"Ans. (a) Hernia En GlissadeRef: Sabiston 20th edition Page 1104* Sliding hernia (Hernia en Glissade) is one in which the posterior wall of sac contains retroperitoneal structures like Sigmoid (MC), Cecum, Bladder.",A
Which is not true about carbuncle?,Infective gangrene of subcutaneous tissue,Caused by staphylococcus,Diabetics are more prone,Caused by streptococcus,"CARBUNCLE
Word meaning of carbuncle is charcoal.

It is an infective gangrene of skin and subcutaneous tissue
StaphyIococcs aureus is the main culprit.
Common site of occurrence is nape of the neck and back. Skin in this area is thick. Condition also can occur in shoulder, cheek. hand. forearm.
It is common in diabetics and after forty years of age.
It is common in males.",D
Thyroglossal cyst moves with protrusion of tongue because of attachment to:,Foramen caecum,Thyroid cartilage,Pharyngeal wall,Tonsils,"Ans: a (Foramen caecum) Ref: Bailey, 24th ed, p. 777Thyroglossal cyst moves with protrusion of tongue because of its attatchment to foramen caecum.Thyroglossal cyst- May present in any part of thyroglossal tract- Common situations in order of frequency- Subhyoid > Region of thyroid cartilage > Suprahyoid- Occupies midline except in region of thyroid cartilage- Complication - thyroglossal fistula- Treatment of thyroglossal cyst and fistula--Sistrunk operationCentral part of body of hyoid, together with the cyst or fistula is excised, upwards towards the foramen caecum with a core of lingual muscle.",A
Re-implantation time for lower limb is -,6 hrs,4 hrs,8 hrs,10 hrs,"• Ischemic time for digits is upto 8 hours.
• Ischemic time for extremities is 4-6 hours.
• Organ containing bag should be placed in a solution of saline with ice.",C
Regression of midgut herniation during embryogenesis occurs at:,6 weeks,10 weeks,16 weeks,20 weeks,Physiological umbilical hernia occurs at week 5 of intrauterine life. Regression of hernia occurs at week 10 Defect in regression causes omphalocele,B
"Upper GI endoscopy is indicated in all, except:",Peptic ulceration,Achalasia cardia,Barrett's esophagus,Corrosive ingestion delayed phase,"Ans. (d) Corrosive ingestion delayed phaseRef: Bailey and Love 26th Edition, Page 994* For corrosive ingestion endoscopy must be planned in early; phase within 48 hours* Endoscopy beyond 48 hours has more chances of perforation* Achalasia cases before endoscopy must be aspirated by Ryles tube in mediastinum",D
Most common lobe involved in BPH is,Lateral,Median,Anterior,Posterior,"BENIGN PROSTATIC HYPERPLASIA Aetiology Hormones Serum testosterone levels slowly but significantly decrease with advancing age; however, levels of oestrogenic steroids are not decreased equally. According to this theory, the prostate enlarges because of increased oestrogenic effects. It is likely that the secretion of intermediate peptide growth factors plays a pa in the development of BPH Pathology BPH affects both glandular epithelium and connective tissue stroma to variable degrees. These changes are similar to those occurring in breast dysplasia , in which adenosis, epitheliosis and stromal proliferation are seen in differing propoions. BPH typically affects the submucous group of glands in the transitional zone, forming a nodular enlargement. Eventually, this overgrowth compresses the PZ glands into a false capsule and causes the appearance of the typical 'lateral' lobes. When BPH affects the subcervical CZ glands, a 'middle' lobe develops that projects up into the bladder within the internal sphincter. Sometimes, both lateral lobes also project into the bladder, so that when viewed from within, the sides and back of the internal urinary meatus are surrounded by an intravesical prostatic collar. Ref : Bailey and love 27th edition Pgno : 1458",B
Hellers operation is indicated for,Achlasia,Gastric cancer,Esophageal cancer,Hiatus hernia,"Ans. is 'a' i.e., Achalasia * The most common surgical procedure for achalasia is laparoscopic Heller myotomy, usually performed in conjunction with an antireflux procedure (partial fundoplication); good to excellent results are reported in 62- 100% of cases.",A
