Question,A,B,C,D,Explanation,Answer
Acute Viral hepatitis A & E are diagnosed by,IgM A & IgM E,IgG A & IgG E,Liver biosy,Virus in stool,"(A) IgM A & IgM E CLINICAL AND EPIDEMIOLOGIC FEATURES OF VIRAL HEPATITISFeatureHAVHBVHCVHDVHEV* Incubation (days)15-45, mean 3030-180, mean 60-9015-160, mean 5030-180, mean 60-9014-60, mean 40* OnsetAcuteInsidious or acuteInsidiousInsidious or acuteAcute* Age preferenceChildren, young adultsYoung adults (sexual and percutaneous), babies, toddlersAny age, but more common in adultsAny age (similar to HBV)Young adults (20-10 years)Transmission* Fecal-oral+ + +---+ + +* PercutaneousUnusual+ + ++ + ++ + +-* Perinatal-+ + +++-* Sexual++ +++ +-Clinical* SeverityMildOccasionally severeModerateOccasionally severeMild* Fulminant0.1%0.1-1%0.1%5-20%1-2%",A
"In which of the following autopsy techniques all the organs (Thoracic, cervical, abdominal, and pelvic organs) are removed 'en masse,' as one big organ block.",Letulle's method,Ghon's Method,Virchow's method,Rokitansky Method,"In Letulle's method thoracic, cervical, abdominal, and pelvic organs are removed 'en masse,' as one big organ block Autopsy Techniques: A) Letulle's method (En masse technique): 1) Thoracic, cervical, abdominal, and pelvic organs are removed together 'en masse,' as one big organ block. 2) The best technique to see relations amongst organs. 3) Preferred in infants so that congenital abnormalities in different organs can be seen in relation to each other 4 ) Disadvantage: difficult to handle large mass. The below image shows Letulle's technique where all the organs (Thoracic, cervical, abdominal, and pelvic) have been removed 'en masse,' as one big organ block. B)Ghon's method (en block): 1) Cervical, thoracic abdominal and pelvic organs are removed in separate blocks 2) Other than Letulle's method, this Ghon's method can also be used in Infants C) Virchow's method 1) Each and every organ is removed one by one. 2) Relations of organs are not preserved 3) Most commonly used technique (easier to perform) D) Rokitansky method 1) This method is characterized by in situ dissections (inside the body itself) 2) Good for infected bodies (prevents spreading of infection)",A
"FG, FFG, FFFG....used to describe: (PGI May 2011)",Primer,Cartridge,Black gunpowder,Wadding,"Ans: C (Black gun..) FG, FFG, FFFG.... are used to describe the size of grains of black gunpowder.Gunpowder used in FirearmsBlack PowderQ# It consists of Potassium nitrate 75%, Charcoal 15% & Suiph ur 10% (Pnemonic - PCS in decreasing percentage)# It is designated as FG, FFG, FFFG, etc., depending on size of the grains. More the no. of F's, the finer are grains & the faster the burning. The powder grains are black, coarse or fine, without any particular shape. It burn with production of much heat, flame & smoke. The gas consists of CO, CO^ N2, H2S, H2, CH+ etc., alt at a very high temperature.Smokeless powder# It consists of nitrocellulose (guncotton) or nitroglycerine & nitrocellulose (double-base). Triple base powder consists of nitrocellulose, nitroglycerine & nitroguanidine.They produce much less flame & smoke & are more completely burnt than black powder.Semismoke less powder# It is a mixture of 80% black & 20% smokeless powder.",C
All are true about antemortem contusion except-,Sequential color change,No inflammation,Raized enzyme levels,Blood cells in surrounding tissue,"Ans. is 'b' i.e., No inflammation Differences between Antemortem & Postmortem contusionAnte Mortem ContusionPost Mortem Contusion1. Swelling is usually present1. Nil2. Size is more2. Less with same amount of force3. Colour changes, as per stage of healing seen3. Nil4. Colour not uniform - pale at centre4. Uniform5. Margins may be abraded or lacerated5. Usually not6. Margins diffuse into surroundings6. Clear cut7. Features of inflammation and vital reaction seen7. Absent8. Blood cannot be easily washed away8. Can be easily washed9. On microscopic examination, infiltration of surrounding tissues with blood cells seen9. Nil10. Enzyme levels are raised10. Nil",B
Cerebral Ischemia occurs when cerebral blood flow is less than,10 ml/100g/minute,20 ml/100g/minute,40 ml/100g/minute,50 ml/100g/minute,"*Acute occlusion of an intracranial vessel causes a reduction in blood flow to the brain region it supplies*Cerebral blood flow to zero causes death of brain tissue within 4-10 minutes*<16-18 mL/100 g tissue per minute cause infarction within an hour; * <20 mL/100 g tissue per minute cause ischemia without infarction unless prolonged for several hours or days.*If blood flow is restored prior to a significant amount of cell death, the patient may experience only TIA.*Tissue surrounding the core region of infarction is ischemic but reversibly dysfunctional and is referred to as the ischemic penumbra. *The ischemic penumbra will eventually infarct if no change in flow occurs.(Ref: Harrison's 18/e p3271 )",B
"A patient presents to the emergency depament with bluish discolouration of conjunctiva, mucus membranes and nails one hour after ingestion of a poison. Examination reveals tachycardia and hypotension. Which of the following is the most likely ingested substance?",Mercury,Arsenic,Lead,Silver,"Presence of bluish discolouration of conjunctiva, mucus membranes and nails suggests cyanosis. Cyanosis together with peripheral vascular failure and shock within one hour of ingestion of a poison suggests Acute Arsenic poisoning of the Fulminant type. Ref: The Essentials of Forensic Medicine and Toxicology By K.S Narayan Reddy, 29th Edition, Page 482; Recognition and Management of Pesticide Poisonings (5th Ed.) By J. Routt Reiga, Pages 127-30",B
Which one of the following clinical features are NOT seen in pheochromocytoma?,Hypertension,Episodic palpitations,Weight loss,Diarrhea,"In pheochromocytoma, there are paroxysms of hypertension and finally, give way to continuous hypertensive state. 
During attacks, the patient complains of a headache, palpitations, abdominal pain, and dizziness; pallor, vomiting, and sweating also occur. 
The child has a good appetite but because the hypermetabolic state does not gain weight, and severe cachexia may develop.",D
Severe wasting is -,<60%,<70%,<80%,<90%,"<p> Malnutrition: Defined as a pathological state resulting from a relative or absolute deficiency or excess of one or more essential nutrients. It comprises: Undernutrition, Overnitrition, Imbalance and Specific deficiency. Main victims are children under 15 years. Children under 5 years are hit the hardest. Malnutrition in India is mainly attributed to kwashiorkar, marasmus, xerophthalmia, nutritional anemia and endemic goitre. Iron deficiency anemia is the most widespread micronutrient deficiency affecting all age groups in India. The effects are direct and indirect. Direct effects are occurence of frank and subclinical nutrition deficiency diseases such as kwashiorkar, marasmus, vitamin and mineral deficiency. Indirect effects are a high morbidity and moality among young children retarded physical and mental growth. Malnutrition predisposes to infection and infection to malnutrition. Waterlow&;s classification of PEM: It defines two groups- 1. Malnutrition with a retarded growth, in which a drop in height/age ratio points to a chronic condition - shoness/stunting. It is an index of duration of malnutrition 2. Malnutrition with a low weight fir a normal height, in ehich the weight for height ratio is indicative of acute condition of rapid weight loss/ wasting . It is an index of severity of malnutrition. Classification of grades of PEM is given by ICMR. IAP Classification of malnutrition: Based on % of ideal weight expected for the age. 1. Normal : >80% 2. Grade 1 PEM: 71-80% 3. Grade 2 PEM:61-70% 4. Grade 3 PEM:51-60% 5. Grade 4 PEM:<50% Waterlow classification of wasting:- Overweight:>110 Normal:91-110 Grade 1:81-90 Grade 2:70-80 Grade 3: <70 {Reference: Park&;s textbook of community medicine 23 rd edition, pg no. 640}",B
Which is the clinical type of acute pericarditis?,Serous,Fibrinous,Caseous,Purulent,"Ans. is 'b' i.e., Fibrinous Classification of pericarditisClinical classificationI. Acute pericarditis (<6 weeks)a) Fibrinousb) Effusive (serous or sanguineous)II. Subacute pericarditis (6 weeks to 6 months)a) Effusinve-constrictiveb) ConstrictiveIII) Chronic pericarditis (> 6 months)a) Constrictiveb) Effusivec) Adhesive (nonconstrictive)* Serous pericarditis is characteristically produced by non- infectious inflammatory diseases, including rheumatic fever, SLE, and scleroderma, as well as tumors and uremia. An infection in the tissues contiguous to the pericardium-- for example, a bacterial pleuritis--may incite sufficient irritation of the parietal pericardial serosa to cause a sterile serous effusion that can progress to serofibrinous pericarditis and ultimately to a frank suppurative reaction.* Fibrinous and serofibrinous pericarditis are the most frequent types ofpericarditis; these are composed of serous fluid variably admixed with a fibrinous exudate. Common causes include acute MI, postinfarction (Dressier) syndrome (an autoimmune response appearing days-weeks after an MI), uremia, chest radiation, rheumatic fever, SLE, and trauma. A fibrinous reaction also follows routine cardiac surgery.* Purulent or suppurative pericarditis reflects an active infection caused by microbial invasion of the pericardial space.* Hemorrhagic pericarditis has an exudate composed of blood mixed with a fibrinous or suppurative effusion; it is most commonly caused by the spread of a malignant neoplasm to the pericardial space.* Caseous pericarditis is, until proved otherwise, tuber- culous in origin; infrequently, fungal infections evoke a similar reaction.",B
"A 42-year-old man requires transfusion for blood loss resulting from an automobile accident. During the infusion, he develops urticaria, stridor, and hypotension requiring IV epinephrine. Further history reveals frequent episodes of sinusitis and bronchitis. Select the one most likely immunologic deficiency",Wiskott-Aldrich syndrome,Ataxia telangiectasia,DiGeorge syndrome,Immunoglobulin A deficiency,"Immunoglobulin A deficiency is the commonest immunodeficiency syndrome, occurring in 1 in 600 patients. It is especially common in Caucasians. The most well-defined aspect of the syndrome is the development of severe allergic reactions to the IgA contained in transfused blood. Patients probably have an increased incidence of sinopulmonary infections and chronic diarrheal illness, although the increased susceptibility may be attributed to concomitant IgG subclass (especially IgG2 and IgG4) deficiency. There is no effective treatment for the IgA deficiency although those with IgG subclass deficiency and recurrent bacterial infections may benefit from immunoglobulin infusions.",D
Hypokalemia causes the following except -,Paralytic ileus,Tetany,hypeension,Rhabdomyolysis,"Mild hypokalemia is often without symptoms, although it may cause elevation of blood pressure, and can provoke the development of an abnormal hea rhythm. Severe hypokalemia, with serum potassium concentrations of 2.5-3 meq/l (Nl: 3.5-5.0 meq/l), may cause muscle weakness, myalgia, tremor, and muscle cramps (owing to disturbed function of skeletal muscle), and constipation (from disturbed function of smooth muscle). With more severe hypokalemia, flaccid paralysis and hyporeflexia may result. Repos exist of rhabdomyolysis occurring with profound hypokalemia with serum potassium levels less than 2 meq/l. Respiratory depression from severe impairment of skeletal muscle function is found in many patients (reference : harrisons ,19E pg-307)",B
"All of the following are seen in Coarctation of Aorta, except-",Diminution of femoral pulsations,High incidence of associated Bicuspid aortic valve,Left ventricular Hypertrophy,Boot Shaped Heart,"Ans. is 'd' i.e., Boot Shaped Heart Coarctation of Aorta -o Symptoms of coarctation of Aorta occurs due to decrease in blood supply distal to Aortic obstruction.o Narrowing or constriction of lumen in coarctation of Aorta may occur anywhere along its length but is most common distal to the origin of the left subclavian artery but sometimes it occurs above the origin of the left subclavian artery.o In these cases the blood supply to left arm (supplied by left subclavian) is interrupted whereas blood supply to the right arm is normal. This results in pressure difference between two arms.o The main reason for symptoms in coarctation of Aorta is interruption of blood supply to the organs located distally to obstructiono Very little of the left ventricle output reaches the descending Aorta.o The symptoms are weak pulses and lower blood pressure in the lower extremities associated with manifestations of arterial insufficiency (i.e., claudication and coldness).o Physical examination shows delayed or weak impalpable femorals compared to strong brachial arteries.o Collateral circulation develops between the precoarctation arterial branches and the postcoarctation arteries through enlarged intercostal and internal mammary arteries.o This produces the radiologically visible erosions (notching) of the undersurface of ribs.o Initially when the narrowing is not very severe the blood flowing through the obstruction produces mid systolic murmur passing through the anterior part of chest, back and spinous process, But when the lumen is sufficiently narrowed, the blood flowing across it results in, high velocity jet across the lesion throughout the cardiac cycle resulting in continuous murmur.o Although coarctation of Aorta may occur as solitary defect, it is accompanied by Biscuspid aortic valve in 50% cases. The Biscuspid valve produces Aortic regurgitation and this results in diastolic murmur seen in coarctation of Aorta.o In coarctation of Aorta unless the hypertension is very severe or left ventricular failure has ensued, cardiac output responds normally to exercise.o Coarctation of Aorta is characterized by Hypertension.Pathophysiology of Hypertension in Coarctation of Aorta.o In coarctation of Aorta the narrowing is typically found just after the vessels are given off to the left arm.o This leads to diminished blood supply in organs distal to the narrowing.o There is diminished blood supply to the kidney. So the kidney releases renin to compensate for the diminished blood supply. But the renin release leads to hypertension in organs which originally had normal B.P.o In this way heart and brain are subjected to very high pressures caused due low blood supply to kidney. The hypertension produces headache and dizziness.Treatment of coarctation of Aorta:o Coarctations generally require repair. Dilating the segment with balloons is a possibility, particularly in the young.o Surgical removal of the narrowed segment needs to be accomplished. If allowed to persist, the high blood pressure which is induced may become 'permanent' even after removal of the narrowed segment, due to changes in some organs which are irreversible.o In coarctation of Aorta constriction of the Aorta occurs distal to the origin of the left subclavian artery.o So the blood supply of the organs supplied by Aortic segment before the constriction is normal where as the blood supply of the organs supplied by portion of Aorta distal to the constriction is reduced.o This causes marked difference in blood supply between the upper and lower parts of the body.o The pulses and the pressure is greater in upper extremities compared to the pressure and pulses in lower extremities.o On physical examination there is delay in the femoral pulse.o The reduced blood supply in lower extremities produces manifestations of arterial insufficiency i.e., claudication and coldness.Murmur in Coarctation of Aortao The blood passing through the narrowed Aorta produces midsystolic murmur which can be heard over the anterior part of the chest back and spinous process.o When the lumen becomes severely narrowed the blood flow through it, turns in to a high velocity jet which produces continuous systolic murmur.The chest radiographNotching of undersurface of ribso Compensatory collaterals develop between the precoarctation arterial branches and postcoarctation arteries through the enlarged intercostal and internal mammary arteries.o These produces the radiologically visible erosions ('notching') of the undersurface of ribs.'3' Signo The characteristic '3' sign of the coarctation of Aorta is produced due to indentation or constriction of Aorta at the site of coarctation and pre and post stenotic dilatation of Aorta.",D
Which of teh following statements about recommended daily allowance is false -,The RDA is decided by a panel of expes and is based on scientific research,The RDA caters to the dietry requirement of all people,The RDA is often higher than the recommended minimum requirement,The RDA is based on the estimated average requirement (EAR),"BALANCED DIET A diet may be defined as the kinds of food on which a person or group lives. A balanced diet is defined as one which contains a variety of foods in such quantities and propoions that the need for energy, amino acids, vitamins, minerals, fats, carbohydrate and other nutrients is adequately met for maintaining health, vitality and general well-being and also makes a small provision for extra nutrients to withstand sho duration of leanness. A balanced diet has become an accepted means to safeguard a population from nutritional deficiencies. In constructing balanced diet, the following principles should be borne in mind : (a) First and foremost, the daily requirement of protein should be met. This amounts to 10-15 per cent of the daily energy intake. (b) Next comes the fat requirement, which should be limited to 15-30 per cent of the daily energy intake (c) Carbohydrates rich in natural fibre should constitute the remaining food energy. The dietary pattern varies widely in different pas of the world. It is generally developed around the kinds of food produced (or impoed) depending upon the climatic conditions of the region, economic capacity, religion, customs, taboos, tastes and habits of the people. It takes into account 95-98% of population. Balanced diets formulated by the Indian Council of Medical researchiis given below A nutritional education guide 'The Food Guide Pyramid' emphasizes foods from the five major food groups shown in the three lower sections of the Pyramid. Each of these food groups provides some, but not all, of the nutrients required. Foods in one group can't replace those in another. No one of these major food groups is more impoant than another for good health, one needs them all. Ref : Park 25th edition Pgno : 636",B
Best contraceptive for newly married couples -,IUCD,Hormonal pills,Rythem method,Condom,"HORMONAL CONTRACEPTIVES Hormonal contraceptives when properly used are the most effective spacing methods of contraception. Oral contraceptives of the combined type are almost 100 per cent effective in preventing pregnancy. They provide the best means of ensuring spacing between one childbih and another. More than 65 million in the world are estimated to be taking the 'pill' of which about 9.52 million are estimated to be in India. Beneficial effects The single most significant benefit of the pill is its almost 100 per cent effectiveness in preventing pregnancy and thereby removing anxiety about the risk of unplanned pregnancy. Apa from this, the pill has a number of non- contraceptive health benefits. Both the Royal College of General Practitioners' and the Oxford Family Planning Association's long-term prospective studies of pill use in Britain have shown that using the pill may give protection against at least 6 diseases: benign breast disorders including fibrocystic disease and fibroadenoma, ovarian cysts, iron- deficiency anaemia, pelvic inflammatory disease, ectopic pregnancy and ovarian cancer. Ref: Park 25th edition Pgno : 535-537",B
Paraneoplastic cerebellar ataxia in hodgkins disease is associated with autoantibody:,anti-Yo,anti-PQ type,Voltage gated calcium channel,anti-Tr,"Paraneoplastic cerebellar ataxia is associated with 1. Breast and ovarian cancers (anti-Yo) 2. Small-cell lung cancer (anti-PQ type voltage-gated calcium channel) 3. Hodgkin's disease (anti-Tr) Ref: Harrison, E-18, P-3336.",D
"If the probability of full recovery following polio is 0.3 and the probability of paial recovery is 0.4, then the total probability of full or paial recovery following polio is:",0.12,0.7,1.2,0.1,"In case of mutually exclusive events, for example total and paial recovery, the total probability can be calculated by applying the law of addition. i.e. P (full or paial recovery)= P(full recovery)+ P(paial recovery) = 0.4+0.3=0.7 Ref: Medical biostatistics, 1st edition pg: 191",B
"A 63 year old man presents with a triad of angina, syncope and congestive hea failure. Which of the following valvular hea lesion can be suspected-",antral stenosis,Tricuspid regurgitation,Aoic stenosis,Aoic regurgitation,"Even severe AS may exist for many years without producing any symptoms because of the ability of the hyperophied LV to generate the elevated intraventricular pressures required to maintain a normal stroke volume. Most patients with pure or predominant AS have gradually increasing obstruction over years, but do not become symptomatic until the sixth to eighth decades. Exeional dyspnea, angina pectoris, and syncope are the three cardinal symptoms. Dyspnea results primarily from elevation of the pulmonary capillary pressure caused by elevations of LV diastolic pressures secondary to reduced left ventricular compliance and impaired relaxation. Angina pectoris usually develops somewhat later and reflects an imbalance between the augmented myocardial oxygen requirements and reduced oxygen availability. Exeional syncope may result from a decline in aerial pressure caused by vasodilation in the exercising muscles and inadequate vasoconstriction in nonexercising muscles in the face of a fixed CO, or from a sudden fall in CO produced by an arrhythmia. ( Harrison&;s principle of internal medicine,18th edition,pg no.1939 )",C
"All of the following statements about Treatment of Hodgkin's lymphoma are true, Except:",ABVD is the most commonly used Regimen,Sterility is more frequent after ABVD than MOPP,Combination chemotherapy is the mainstay of treatment in Advanced Hodgkin's disease,WBC count > 15000/mm3 is a poor prognostic factor,Answer is B (Sterility is more frequent complication of ABVD than MOPP) Sterility is more frequent complication of MOPP than AB VD. Infeility and Treatment of Hodgkins Lymphoma Infeility is a concern for all patients undergoing treatment Risk of infeility is age related - Risk is increased in old age (younger patients are more likely to recover feility) Risk of infeility is more with MOPP than ABVD (Treatment with ABVD rather than MOPP increases the chances to retain feility - Harrison),B
The lung disease associated with mesothelioma is:,Silicosis,Asbestosis,Bagassosis,Anthracosis,"The most impoant factor for the development of mesothelioma is exposure to asbestos primarily the amphiboles crocidolite and amosite. Asbestos: is a naturally occurring group of fibres. There are two subgroups; Serpentine group: consist of chrysotile Amphiboles group: crocidolite, amosite, tremolite, anthophyllite and actinolite There are four main diseases associated with inhalation of asbestos fibres. Mesothelioma - a form of cancer mainly affecting the mesothelial cells. Asbestos related lung cancer Asbestosis - a non-malignant scarring of the lung tissue a form of pneumoconiasis. Non malignant pleural disease (diffuse pleural thickening and pleural plaques) Pathophysiology: There are 4 principal processes by which asbestos affects the pleura 1. The fibers irritate the pleura, thereby inducing scarring or a more malignant process 2. The fibers may pierce the mitotic spindle of cells, thereby disrupting mitosis leading to chromosomal damage 3. They also induce the generation of iron-related reactive oxygen species (ROS) causing DNA damage 4. Asbestos also induces phosphorylation of the mitogen-activated protein (MAP) kinases which increases the expression of early-response proto-oncogenes. Ref: Asbestos: Risk Assessment, Epidemiology, and Health Effects, edited by Samuel P. Hammar, Ronald F. Dodson, Page 314",B
In national vector borne disease control program which disease is not included?,Malaria,Yellow fever,Japanese encephalitis,Kala azar,"Ans. (b) Yellow feverRef. K. Park 21sted./380* The National Vector Borne Disease Control Programme (NVBDCP) is implemented for the prevention and control of vector borne diseases such as: Malaria, Filariasis, kala-azar, Japanese encephalitis, Dengue and Chikunguniya.* Yellow fever is NOT a part of NVBDCP.",B
A 25 year old boy presents with renal failure. His uncle died of renal failure three years ago. Slit lamp examination reveals Lenticonus / Keratoconus. The likely diagnosis is:,Autosomal Dominant Polycystic Kidney (ADPCKD),Autosomal Recessive polycystic kidney (ARPCKD),Alpo's syndrome,Denysh-Drash Syndrome,Answer is C (Alpo's syndrome) Association of Renal failure with Lenticonus / Keratoconus with a positive family history suggests a diagnosis of Alpo's syndrome.,C
One of your patients after returning from abroad has been diagnosed to have meningococcal meningitis. What immediate chemoprophylaxis will you advice for the patients close contacts?,Rifampicin 600 mg OD x 3 days,Rifampicin 600 mg BD x 2 days,Rifampicin 300 mg BD x 3 days,Rifampicin 600 mg OD x 2 days,"The treatment recommended is Rifampicin 600 mg BD x 2 days for an adult or Minocycline 100 mg BD may also be used. Penicillin doesn't eradicate the carrier state. Sulphonamide resistant strain has now emerged so it is no longer reliable. Note: Vaccine is available against A, C, Y and W135 strains only. Ref: Park, Edition 21, Page 155",B
'Sparrow's foot marks' are seen in which of the following injuries?,Gunshot Injuries,Stab injury of face,Windshield Glass injury,Vitriolage,"Sparrow's foot marks refers to bizarre lacerations over the face seen in first row occupants in motor vehicular accidents as a result of contact with the shattered windscreen glass. They are relatively superficial. Ref: Textbook of Forensic Medicine and Toxicology', 4th Edition, Page 385; Forensic Pathology' by Williams (Churchill Livingstone) 1996, Page 71; Essentials of forensic medicine and toxicology, 27th Edition, Page 249",C
A night blood suyrvey is done in -,Malaria,Filariasis,Plague,Dengue,"<p> night blood survey:- A considerable amount of people affected with filariasis are asymptomatic,although the blood is positive for microfilaria. They may remain asymptomatic for years. They are an impoant source of infection in the community. These carriers are usually detected by night blood survey examination since the microfilaria is best seen in blood from around 10 pm-2 am. {Reference: park&;s textbook of preventive and social medicine, 23rd edition, pg no.272}",B
"PQLI includes all of the following except: March 2005, March 2013 (c, h)",Per capita income,Literacy rate,Life expectancy at 1 year,Infant Moality,"Ans. A: Per capita The Physical Quality of Life Index (PQLI) is an attempt to measure the quality of life or well-being of a country. The value is the average of three statistics, all equally weighted on a 0 to 100 scale: Basic literacy rate, Infant moality, and Life expectancy at age one, It was developed for the Overseas Development Council in the mid-1970s by Morris David Morris, as one of a number of measures created due to dissatisfaction with the use of GNP as an indicator of development. This shows that money is not everything. PQLI might be regarded as an improvement but shares the general problems of measuring quality of life in a quantitative way. It has also been criticized because there is considerable overlap between infant moality and life expectancy. Steps to Calculate Physical Quality of Life: Find percentage of the population that is literate (literacy rate). Find the infant moality rate. (Out of 1000 bihs) (Infant Moality Rate = (166 - infant moality) x 0.625) Find the Life Expectancy (Life Expectancy = (Life expectancy - 42) x 2.7) Physical Quality of Life = (Literacy Rate + Infant Moality Rate + Life Expectancy)/ 3",A
Health related goal in Sustainable Development Goals,SGD 4,SDG 6,SDG 2,SDG 3,Ref:Park's Textbook of Preventive and Social Medicine 25th Ed P.523,D
"A 40-year old male complains of a vague dragging sensation in his abdomen for the last 6 months. There was no history of fever, renal colic or dysuria. Physical examination reveals a blood pressure at 150/96 mm Hg. Renal ultraound : Bilaterally enlarged kidneys with multiple cysts. Urinary analysis: Mild Proteinuria WBCs 4/HPF (Normal: < 5/HPF) RBCs 10/HPF (Normal :< 5/HPF) The renal pathology was a result of -",Nephrolithiasis,Enlarged prosate,Polycystic kidney disease,Deposition of immune complexes in the glomeruli,"Polycystic kidney disease - Asymptomatic till fouh decade. Clinical manifestations -progressive bilateral formation of renal cysts, hypeension, abdominal mass, flank pain(frequent symptom in 60%of pts) . Pain may result from cyst hemorrhage , infection or nephrolithiasis. Gross hematuria resulting from cyst rupture occurs in 40%of patients in their course of disease and many will have recurrent episodes. Proteinuria is a minor feature. Ref:Harrison 20 th edition pg no 2152",C
All of the following represent Specific protection mode of Disease prevention except:,Chemoprophylaxis for meningococcal meningitis,Personal hygiene and Environmental sanitation,Usage of condoms,Iodization of salt,"Ans. (b) Personal hygiene and Environmental sanitation* Specific protection mode of disease prevention: Is a Primary level of disease prevention (applied when risk factors are present in environment, but disease has not yet taken place). Risk factors are already present, but disease is prevented from occurring by using a specific modality. E.g., Chemoprophylaxis to prevent meningococcal meningitis, Usage of condoms to prevent pregnancy/ STIs, Iodization of salt to prevent Iodine Deficiency Disorders.* Personal hygiene and Environmental sanitation is Health Promotion mode of intervention, also a type of Primary level of prevention",B
Following sign is seen in which condition:,Medial medullary syndrome,Lateral medullary syndrome,Benedict syndrome,Millar Gubler syndrome,"Ans. A. Medial medullary syndromeImage shows one sided deviation of tongue, i.e. paralysis of XIIth nervea. This occurs in Medial Medullary syndrome or Dejerine syndromeb. It occurs due to occlusion of anterior spinal arteryc. It is characterized by Ipsilateral XIIth nerve paralysis with contralateral hemiplegia.",A
All of the following are features of pheochromocytoma except:,Hypeensive paroxysm,Headache,Ohostatic hypotension,Wheezing,"Clinical features of pheochromocytoma includes: Hypeension (usually paroxysmal; often postural drop of blood pressure), attacks with Pallor (occasionally flushing), palpitations, sweating, headache and anxiety, abdominal pain, vomiting, constipation, weight loss and glucose intolerance. Ref: Harrisons Internal Medicine, 18th Edition, Chapter 343 ; Current Medical Diagnosis and Treatment, 2012, Chapter 26",D
CSF findings in Tubercular meningitis: March 2009,"Decreased glucose, increased proteins, decreased lymphocytes","Increased glucose, decreased proteins, decreased lymphocytes","Increased glucose, increased proteins, increased lymphocytes","Decreased glucose, increased proteins, increased lymphocytes","Ans. D: Decreased glucose, increased proteins, increased lymphocytes The typical CSF abnormalities in patients with TB meningitis are: Raised intracranial pressure Raised CSF protein (1-8 g/L) Lymphocytosis Low CSF glucose",D
'Nikshay' is a newly launched central government software. It is used for tracking:,Tuberculosis,High-risk pregnancies,High-risk newborns,Malaria,"Ans. a. Tuberculosis (Ref: Park 23/e p429; www.nhp.gov.in)'Nikshay' is newly launched central government software. It is used for tracking tuberculosis.'NIKSHAY, the web based reporting for monitoring RNTEP has been a notable achievement initiated in 2012. It has enabled capture and transfer of individual patient data from the remotest health institutions of the country.'Revised National Tuberculosis Control Programme: New Initiatives1. The RNTCP has completed the feasibility study of introducing GeneXpert in RNTCP in 18 tuberculosis units in 12 states. RNTCP is currently using CB NAAT for the diagnosis of tuberculosis and MDT-TB in high-risk population like HIV positive and pediatric groups.Cartridge based nucleic acid amplification test (CBNAAT): The second generation NAAT-based TB diagnostics offer the prospect of very high sensitivity , approaching that of liquid culture-the gold standard for TB diagnosis.2. Nikshay: TB surveillance using case based, web based IT systemCentral TB division in collaboration with National Informatics Centre has undertaken the initiative to develop a case based web based application Nikshay. This software was launched in May 2012 and has following functional components:- TB patient registration and details of diagnosis, DOTS provider, HIV status, follow-up, contact tracing, outcomes.- Details of solid and liquid culture and DST, LPA. CBNAAT details- Referral & transfer of patients- Private health facility registration and TB notification- Mobile application for TB notification- SMS alerts to patients on registration- SMS alerts to programme officers- Automated periodic reports: Case finding, sputum conversion, treatment outcome3. TB Notification:- In order to ensure proper diagnosis and management of TB cases, and to reduce TB transmission and the emergence and spread of MDR-TB, it is essential to have complete information of all TB cases.- According to Government of India notification dated 7th May 2012, it is now mandatory for all healthcare providers to notify every TB case to local authorities every month in a given format.4. Ban on TB Serology:- The serological tests are based on antibody response, which is highly variable in TB and may reflect remote infection rather than active disease.- Currently available serological tests are having poor specificity and should not be used for the diagnosis of pulmonary or extrapulmonary TB.- Their import, manufacturing, sale distribution and uses are banned by Government of India.",A
Serum C3 is persistently low in the following except-,Post streptococcal glomerulonephritis,Membranoproliferative glomerulonephritis,) Lupus nephritis,Glomerulonephritis related to bacterial endocarditis,"Lupus nephritis: the significance of serological tests at the time of biopsy. ... As compared with a group of lupus patients without nephritis, patients with nephritis had lower serum complement C3 (p less than 0.05) and C4 (p less than 0.005) levels and higher serum DNA binding activity (p less than 0.001) Ref Harrison20th edition pg 277",C
Banding technique used for studying translocations involving centromere is,Q banding,G banding,R banding,C banding,"M/c used for cytogenetic analysis - G banding.
For studying translocations involving centromere - C banding.",D
The most common toxin causing dilated cardiomyopathy is,Alcohol,Chemotherapeutic agents,Heavy metal,Occupational exposure,"Ref Harrison 19 th ed pg 1558 Toxic 1.Alcohol 2.Catecholamin: amphetamines, cocaine 3.3.Chemotherapeut agents (anthracyclines, trastuzumab) 4.Interferon 5.Other therapeutic agents (hydroxychloroquine, chloroquine)6.Dru of misuse (emetine, anabolic steroids) 7. metals: lead, mercury Occupational exposure: hydrocarbons, arsenicals.",A
"How is the Human povey index - 2 (HPI -2) different from Human povey Index - 1 (HPI - 1, as described in UNDP?",It also captures the financial inclusion,It also captures the social exclusive,It also captures the geriatric empowerment,It also captures the occupational health,"Human povey index for developing countries (HPI-1) The following three dimensions are taken into account: Deprivation of longevity, measured as a percentage of the individuals with a life expectancy lower than 40 years (P1). Deprivation of knowledge, expressed as a percentage of illiterate adults (P2). Deprivation of decent living standards (P3) HPI-2 also considers a fouh dimension, social exclusion, measured with the long-term unemployment rate (P4), that is the percentage of those unemployed for 12 months or over compared to the total work force (the sum of those working and those seeking a job). Ref : Park&;s textbook of preventive and social medicine; 23rd edition",B
