Question,A,B,C,D,Explanation,Answer
Treatment of choice in Choledochal cyst is,Roux-en-Y hepaticjejunostomy,Cystojejunostomy,Choledochoduodenostomy,Choledochojejunostomy,"Treatment of Choledochal cyst Type I : Roux-en-Y hepaticojejunostomy Type II: Excision with T-tube REPAIR, Roux-en-Y hepaticojejunostomy Type III: Endoscopic sphincterectomy and cyst unroofing Type IVA: Hepatic resection for localised disease, Liver transplantation for diffuse diseases Type IVB: Transduodenal sphicteroplasty and Roux-en-Y hepaticojejunostomy Type V: Hepatic resection for localised disease, Liver transplantation for diffuse disease Ref: Sabiston 20th edition Pgno :1511",A
Substance P belongs to the tachykinin family of peptides. Which of the following peripheral tissues contain substance P?,Plasma cell,Mast cell,Nerve terminal,Vascular endothelium,"Substance P is found in high concentrations in the endings of primary afferent neurons in the spinal cord, and it is probably the mediator at the first synapse in the pathways for pain transmission in the dorsal horn. It is also found in high concentrations in the nigrostriatal system, where its concentration is propoional to that of dopamine, and in the hypothalamus, where it may play a role in neuroendocrine regulation. It is responsible for the axon reflex and in the intestine, it is involved in peristalsis. Ref: Barrett K.E., Barman S.M., Boitano S., Brooks H.L. (2012). Chapter 7. Neurotransmitters & Neuromodulators. In K.E. Barrett, S.M. Barman, S. Boitano, H.L. Brooks (Eds), Ganong's Review of Medical Physiology, 24e.",C
"Evaluation of an infant reveals hypocalcemia due to a lack of parathyroid hormone. On x-ray, the thymic shadow is absent. Which of the following embryonic structures is involved",Third pharyngeal cleft,Fouh pharyngeal cleft,Third pharyngeal pouch,Fouh pharyngeal pouch,"Since thymus is missing, appropriate answer would be third pharyngeal pouch. This patient has got DiGeorge syndrome. DiGeorge syndrome causes migration defects of neural crest-derived tissues, paicularly affecting development of the third and fouh Branchial pouch (pharyngeal pouches)",C
Haemoglobin unlike myoglobin shows -,Parabolic curve of oxygen association,Co-operative effect of combine O2,Co-operative index of 81,Hill's coefficient of 1,"Hemoglobin shows Co-operative binding kinetics i.e. binding of one O2 facilitates binding of other O2 molecules.
Hb-O2 dissociation curve is sigmoid (not parabolic).
Hill coefficient for hemoglobin is 2.8, whereas it is 1 for myoglobin.
There is no term like cooperative index.",B
Vitamin B1 is required for which reaction,Transamination,Oxidative decarboxylation,Carboxylation,All of the above,"Ans. is 'b' i.e.,Oxidative decarboxylation Active form (coenzyme form) of thiamine is thiamine pyrophosphate (TPP), also called thiamine diphosphate (TDP).TPP acts as coenzyme forOxidative decarboxylation:- Pyruvate dehydrogenase, a-ketoglutarate dehydrogenase, brached-chain keto acid dehydrogenase.Transketolase in PPP.",B
Exaltation refers to:,Enhancement of virulence,Removal of cell wall,Increasing rate of replication,Passage through unorable hosts,"Exaltation refers to enhancement of virulence 1. Virulence - Measure of a microbe's ability to cause disease. Quantitative measure of pathogenicity Highly virulent microbe requires fewer organisms to cause disease than a less virulent one; hence it is directly dependent on the infectious dose of the organism. 2. The virulence of a strain is not constant and may undergo spontaneous or induced variations. Attenuation - Reduction in virulence & can be achieved experimentally by passage through unorable hosts, repeated cultures in aificial media, growth in high temperature or in the presence of weak antiseptics or prolonged storage in culture. Exaltation - Enhancement of virulence & can be demonstrated experimentally by serial passage in susceptible host",A
ECF volume is best evaluated by,Mannitol,Inulin,D2O,Evan's blue,ECF volume is measured by inulin which is a polysaccharide.(Ref: Textbook of physiology N Geetha 2nd edition page no.61),B
Acute haematogenous osteomyelitis is commonly caused by,"Staph, aureus",Strepto. pneumoniae,E. coli,Pneumococcus,"A. i.e. (Staph, aureus) (197 - Ananthanaryan 7th)* Acute haematogenous osteomyelitis - causal organism is usually Staph, aureus, less often one of the other Gram positive cocci such as Streptococcus. Pyogenes or S. pneumoniae* Organism usually settles in the metaphysis most often in the proximal tibia or in the distal and proximal ends of the femur1. Staphylococcal toxic syndrome is due to Enterotoxin B & C**2. Pantone Valentine leucocitin is seen in - Staphylococci**3. The antibody marker in serum for Staph.endocarditis is - Antiteichoic acid**",A
A competitive inhibitor of an enzyme will?,Alter the Vmax of the reaction,Bind to the same site as the substrate,Decrease the apparent Km for the substrate,Decrease the turnover number,"Substances that reduce the activity of an enzyme are called inhibitors. Reversible inhibitors bind to an enzyme but rapidly dissociate from it . There are several types of reversible inhibitors: Competitive inhibitors usually resemble the substrate and compete with it for binding at the active site. Thus, increasing the concentration of substrate will decrease the percent inhibition of the enzyme. The Vmax is unchanged, but the Km is increased. A noncompetitive inhibitor binds with equal affinity to both enzyme and enzyme-substrate complex. This binding leads to a distoion of the substrate binding site, so new substrate cannot bind and/or the product cannot be released. In this kind of inhibition, the Vmax is decreased (choice A), but the Km is not altered. Adding more substrate will not reverse this type of inhibition. This is the equivalent of decreasing the turnover number. An uncompetitive inhibitor does not bind to free enzyme, but binds to the enzyme-substrate complex at a site other than the catalytic site. Once bound by the inhibitor, the enzyme is trapped in the enzyme-substrate complex state until the inhibitor dissociates. In this kind of inhibition, the slope of the reaction (which is the ratio Km/Vmax) remains the same, but both Vmax and Km are reduced. Ref: Janson L.W., Tischler M.E. (2012). Chapter 5. Enzymes and Amino Acid/Protein Metabolism. In L.W. Janson, M.E. Tischler (Eds), The Big Picture: Medical Biochemistry.",B
In circulatory biomechanics which of the following is true-,Blood viscosity is increased in anemia,Blood viscosity is decreased in polycythemia,Cardiac output is increased in anemia,Cardiac output is decreased in Beri-Beri,"Ans. is 'c' i.e., Cardiac output is increased in anemia o Cardiac output is increased in conditions which cause decrease in peripheral vascular resistanceExerciseAV fistula or shuntSevere anemiaThyrotoxicosisWet beri-beriAbout other optionso Blood viscosity is lowr in anemia and high in polycythemia.",C
Lamina papyracea separates nose from,Sphenoid bone,Orbit,Frontal bone,Maxillary sinus,"Ref: Henry Gray. Anatomy of the Human Body. The lateral surface is formed of a thin, smooth, oblong plate, the lamina papyracea (os planum), which covers in the middle and posterior ethmoidal cells and forms a large pa of the medial wall of the orbit; it aiculates above with the orbital plate of the frontal bone, below with the maxilla and orbital process of the palatine, in front with the lacrimal, and behind with the sphenoid.",B
An 18yr old male presents with a draining sinus on his left leg with pus discharge and discharge of bony pieces since 3 months. the diagnosis is,Chronic osteomyelitis,Ewings sarcoma,Osteoid osteoma,Cellulitis,"Chronic osteomyelitis is the most common complication of acute osteomyelitis. If infection persists, pus and tiny sequestrated spicules of bone may continue to discharge through perforation in involucrum(cloacae). The hallmark of chronic osteomyelitis is infected dead bone within a compromised soft-tissue envelope. The infected foci within the bone are surrounded by sclerotic, relatively avascular bone covered by a thickened periosteum and scarred muscle and subcutaneous tissue. This avascular envelope of scar tissue leaves systemic antibiotics essentially ineffective. * Secondary infections are common, and sinus track cultures usually do not correlate with cultures obtained at bone biopsy. * Multiple organisms may grow from cultures taken from sinus tracks and from open biopsy specimens of surrounding soft tissue and bone. symptoms Pain, swelling. Discharging sinus. Bone thickening. Deformity. Joint stiffness. Shoening of limb, Pathological fracture. Sinus track malignancy. ref : maheswari 9th ed",A
Triacylglycerol and Cholesteryl ester are,Non polar lipids,Polar lipids,Amphipathic lipids,None of the above,"In general, lipids are insoluble in water since they contain a predominance of non polar (hydrocarbon) groups. However, fatty acids, phospholipids, sphingolipids, bile salts, and to a lesser extent, cholesterol contain polar groups. Therefore, a part of the molecule is hydrophobic, or water insoluble; and a part is hydrophilic, or water. Such molecules are described as amphipathic. Water interfaces with the polar group in the water phase and the non polar group in the oil phase. A bilayer of such amphipathic lipids is the basic.",C
First muscle affected in compament syndrome :,Flexor Digitorum sublimis,Flexor Digitorum profundus,Flexor carpi ulnaris,Flexor carpi radialis,Flexor muscles of forearm has superficial and deep mucles. Deep muscles-Flexor digitorum profundus Flexor digitorum longus Pronator quadratus. Deep muscles are more affected by increased intracompamental syndrome. ref : maheswari 9th ed,B
Urethral Crest is situated in-,Prostatic Urethra,Membranous Urethra,Penile Urethra,Bulbar Urethra,"Ans. is 'a' i.e., Prostatic Urethrao Posterior wall of prostatic urethra hasUrethral crest: median longitudinal mucus fold.Colliculus seminalis (verumonatanum) : An elevation in the middle of urethral crest with the opening of prostatic utricle at its summit and ejaculatory duct on each side.Openings of ejaculatory ducts: These are present on each side of the orifice of utricle.Prostatic sinuses : These are vertical grooves preseent one on each side of urethral crest. They present with openings of prostatic glands.",A
In ETC cmplex-4 is inhibited by all except -,CO,CN-,H2S,BAL,"Ans. is 'd' i.e., BAL o Rotenone inhibits complex I (NADH-CoQ reductase).Inhibitors of electron transport chain-o Inhibitors of respiratory chain may be divided into three groups : -Inhibitors of electron transport chain properThese inhibitors inhibit the flow of electrons through the respiratory chain. This occurs at following sites.Complex I (NADH to CoQ) is inhibited by: - Barbiturates (amobarbital), Piericidin A (an antibiotic), rotenone (an insectiside), chlorpromazine (a tranquilizer), and guanethidine (an antihypertensive). These inhibitors block the transfer of reducing equivalents from FeS protein to CoQ.Complex II is inhibited by : - Carboxin and TTFA inhibit transfer of electon from FADH2 to CoQ, whereas malanate competitively inhibit from succinate to complex II.Complex III (Cytochrome b to cytochrome Cl) is inhibited by : - Dimercaprol, antimycin A, BAL (British anti lewisite), Naphthyloquinone. These inhibitors block the transfer of electrons from cytochrome b to cytochrome C i.Complex IV (cytochrome C oxidase) is inhibited by : - Carbon monoxide, CN-, ITS and azide (N3). These inhibitors block the transfer of electrons from cytochrome aa3 to molecular oxygen and therefore can totally arrest cellular respiration.Inhibitors of oxidative phosphorylationThese compounds directly inhibit phosphorylation of ADP to .ATP. Oligomycin inhibits Fo component of F0F1 ATPase. Atractiloside inhibits translocase, a transport protein that transports ADP into mitochondria for phosphorylation into ATP.UncouplesAs the name suggests, these componds block the coupeling of oxidation with phosphorylation. These compounds allow the transfer of reducing equivalents in respiratory chain but prevent the phosphorylation of ADP to ATP by uncoupling the linkage between ETC and phosphorylation. Thus the energy instead of being trapped by phosphory lation is dissipated as heat. Uncouplers may be :- Natural :-Thermogenin, thyroxineSynthetic :- 2, 4-dinitrophenol (2, 4-DNP), 2, 4-dinitrocresol (2, 4-DNC), and CCCP (chlorocarbonylcyanidephenyl hydrazone).",D
Which of the following anticoagulant used in estimating blood glucose prevents glycolysis?,Oxalate,Citrate,Sodium fluoride,Heparin,"Enolase is inhibited by fluoride, and when blood samples are taken for measurement of glucose, glycolysis is inhibited by taking the sample into tubes containing fluoride. Enolase is also dependent on the presence of either Mg2+ or Mn2+ ions. Reference: Harper; 30th edition; Page no: 171",C
Which amino acid has imino group-,Proline,Glycine,Arginine,Tryptophan,"Ans. is 'a' i.e., Proline* Proline has an imino group as one of its functional groups (the other one being carboxyl group). All other amino acids have an amino group and a carboxyl group* Glycine does not have a side chain* Arginine has a guanidium group in the side chain* Tryptophan has an indole group in the side chain* Aminoacids have an aminogroup and carboxyl group as functional groups. Apart from these functional groups, they also have a side chain.* Aminoacids are classified based on the side chain asa) Polar aminoacidsb) Non polar aminoacids* Polar aminoacids are aminoacids which are soluble in polar solvents like water. For them to be soluble in polar solvents like water, they should be either charged or they should have polar groups like -OH or -SH or -NH groups, which can form hydrogen bonding with water.* Hence polar aminaocids are classified as# Charged and# Uncharged* Charged polar aminoacids are classified as# Positively charged or basic aminoacids* Histidine, Lysine and arginine* These aminoacids have additional aminogroups in the side chain (other than the functional aminogroup)* Histidine has two iminogroups* Lysine has one aminogroup* Arginine has two aminogroups# Negatively charged or acidic aminoacids* Aspartic acid and Glutamic acid* These aminoacids have additional carboxyl groups in the side chain (other than the functional carboxyl groups)* Uncharged polar amino acids are classified as# Hydroxyl group containing aminoacids* Serine, threonine, tyrosine# Sulphydryl group containing aminoacids* Cysteine* Aminogroup containing aminoacids# Asparagine and Glutamine# These aminoacids have only one additional aminogroup in the side chain* Non Polar aminoacids are classified as:Aliphatic aminoacids# Glycine, Alanine, Valine, Leucine, isoleucine and Methionine# Out of these Valine, Leucine and Isoleucine are branched chain aminoacidsAromatic aminoacids# Phenylalanine and Tryptophan (Though tyrosine is aromatic, it is polar but uncharged, because it has a hydroxyl group).Iminoacid# Proline",A
Only hepatitis virus which can be cultured is,>HAV,>HBV,>HDV,>HCV,HAV Hepatitis A virus can be grown in some human and simian cultures and it is the only human hepatitis virus which can be cultivated in vitro. It has also been cloned.,A
Exercise is also prescribed as an adjuvant treatment for depression. Most probably is acts by:,Increasing pulse pressure,Improving hemodynamics,Raising endorphin levels,Inducing good sleep,"Ans. is 'c' ie Raising endorphin levels (Ref: Kaplan and Soddok's Comprehensive Textbook of Psychiatry 7/e, p106, 107).'It is well known that exogenous opioids (eg heroin, morphine) can induce a euphoric mood state and that exercise increases release of endogenous opioids and is associated with mood enhancement - Kaplanb endorphin is the principal endogenous opiods.The best documented function of endogenous opiates is in analgesia and alteration of pain perception.",C
Antibiotic sensitivity testing can be done using all except,E test,Kirby-Bauer method,Culture agar method,Broth dilution method,"Ans. is 'c' i.e., Culture agar method Tests used for antimicrobial sensitivity are : Disc susceptibility test (most commonly used) Broth dilution susceptibility test Kirby-Bauer disc diffusion method E-test (Epsilonieter test)",C
Which of the following transmits mandibular nerve?,Foramen lacerum,Foramen magnum,Foramen ovale,Foramen spinosum,"Key concept:
The foramen ovale transmits the mandibular nerve, the lesser petrosal nerve, the accessory meningeal  artery, an emissary vein connecting the cavernous sinus with the pterygoid plexus of veins, and  occasionally the anterior trunk of the middle meningeal vein.",C
What is the normal position and axis of uterus ?,"anteversion , retroflexion","retroversion , retroflexion","retroversion , anteflexion","anteversion , anteflexion","Normally, the long axis of the uterus forms an angle of about 90 degrees with the long axis of the vagina. The angle is open forwards. The forward bending of the uterus relative to the vagina is called anteversion. The uterus is also slightly flexed on itself : this is referred to as antefiexion. The angle of anteflexion is 125 degree. Ref : B D Chaurasia's Human Anatomy , Seventh edition , volume 2 , pg. no., 419.",D
Z-lines are anchored to the sarcolemma by:,Titin,Dystrophin,Desmin,Actinin,"Desmin and vimentin are the proteins that anchor Z-lines to sarcolemma. a-actinin and CapZ proteins anchor the thin filaments to the Z-lines. Titin is attached to the Z-line, and it aligns the thick filament in sarcomere. Dystrophin is attached to the ends of thin filaments (toward the center of sarcomere); it extends from thin filament to sarcolemma.",C
Oblique popliteal ligament is pierced by ?,Anterior branch of popliteal aery,Medial inferior genicular branch of popliteal aery,Medial superior genicular branch of popliteal aery,Middle genicular branch of popliteal aery,"Ans. is 'd' i.e., Middle genicular branch of popliteal aery Oblique popliteal ligament It is an expansion from the tendon of semimembranosus attachment to intercondylar line of femur.It is closely related to popliteal aery and is pierced by middle genicular vessels and nerve and the terminal pa of the posterior division of the obturator nerve.",D
"Inflammatory lesions in all of the following areas make the superficial inguinal lymph nodes enlarged and tender, EXCEPT:",Lower pa of Anal Canal,Big Toe,Spongy Urethra,Isthmus of Uterine Tube,"The lymphatics from the spongy urethra pass mostly to the deep inguinal lymph nodes, though the terminal poion drains into the superficial inguinal nodes. The lymphatics from the prostatic and membranous pas of the urethra drain mostly into the internal iliac nodes and paly to the external iliac nodes. Ref: Clinical Anatomy (A Problem Solving Approach), By Neeta V Kulkarni, 2nd edition, Page 792, 794, 840, 841 ; Clinical anatomy By Regions, By Richard S. Snell, 8th Edition, Page 363, 366, 394, 404, 405, 609 ; B.D.Chaurasia's Human Anatomy:Regional and Applied, Volume Two, 3rd edition, Page 115, 116, 167, 309",C
Which type of hemoglobin is not normally found within human erythrocytes?,HbA,HbA2,HbCO,HbO2,"Adult erythrocytes normally do not contain any carboxyhemoglobin, which is formed when hemoglobin binds carbon monoxide. Ref : Biochemistry by U. Satyanarayana 3rd edition Pgno : 206",C
Which of the following is viviparous?,Strongyloidis stercoralis,Trichinella spiralis,Enterobius,Ascaris,"1. Viviparous: Worms that lay Larva directly, without egg formation, e.g. Filarial worms, Trichinella and Dracunculus. 2. Oviparous: Lay eggs which hatch out to larva later in the environment- Ascaris, Hookworm, Trichuris and Enterobius 3. Ovoviviparous: Lay eggs containing larva which immediately hatchout, e.g. Strongyloides.",B
A patient comes to the clinic requesting a tuberculin skin test as a pa of his preemployment check up. All of the following are methods of tuberculin testing except,Tine test,Heaf test,Pirquet test,Quantiferon gold,"Quantiferon gold is not a type of tuberculin skin test. It is a type of interferon-gamma release assays (IGRAs), a whole-blood tests that can aid in diagnosing Mycobacterium tuberculosis infection. Two IGRAs that have been approved by the US (FDA) are QuantiFERON-TB Gold In-Tube test (QFT-GIT); T-SPOT.TB test (T-Spot) There are 3 described methods for tuberculin skin testing (TST): Mantoux test, also known as the Pirquet test (preferred method) Heaf test Tine test Reference: Ananthanarayan and Paniker&;s Textbook of Microbiology Tenth edition",D
25 year old labourer 3 years back presented with penile ulcer not treated. Later he presented with neurological symptoms for which he got treated. Test to monitor response to treatment is ?,VDRL,FTA-ABS,TPI,RPR,"Ans. is 'a' i.e., VDRL . Neurological symptoms in a patient with history of untreated ulcer 3 years back suggests the diagnosis of neurosyphilis. To fuher clear the doubts, all the given options are serological tests for syphilis. So, the examiner is asking about the syphilis for sure. . It has alreadys been explained that for monitoring of response of therapy non specific serological tests (VDRL or RPR) are used as the specific treponemal tests remain positive inspite of treatment. Now question arises, whether to use VDRL or RPR as both the options are there in this question. Following statement will clear your doubts? ' The VDRL ( a standard test) will often indicate cure as measured by negative serologies by 12 months after therapy, whereas the RPR shows only 50% seroconversion i.e. negative serology at one year'....................... Annals on internal medicine Like VDRL test RPR test can also be used to monitor the treatment in syphilis but it is not suitable for testing C.S.F., so it cannot be used in neurosyphilis. . Titres are not interchangable between different test types. Hence, the same non-treponemal test should be used for follow up. e.g. if one has used VDRL at first follow up, then VDR1 should be used at every follow up. You should also keep in mind that though after adequate treatment of syphilis non treponemal tests (non specific tests) eventually become non-reactive. Sometimes even with sufficient treatment patients have a persistent low level positive nontreponemal test, reffered to as a serofast reaction.",A
Iodine is transpoed to the thyroid gland by ?,Active transpo,Diffusion,Passive transpo,Pinocytosis,"Ans. is 'a' i.e., Active transpo Iodine uptake for thyroid hormone synthesis:Iodine uptake mediated by thyroid follicular cells from the blood plasma is the first step for the synthesis of thyroid hormones.This ingested iodine is bound to serum proteins, especially to albumins.The rest of the iodine which remains unlinked and free in bloodstream, is removed from the body through urine.Basolateral membrane of thyroid cells (follicular cells) have active transpo system for iodine uptake - Na+ : I- sympoer (NlS) (Secondary active transpo).This trapping stimulated by TSH,",A
NK cells CD marker is,16,60,32,25,"Ref Robbins 8/e p188;9/e p192 NK cells (belonging to the group of innate lymphoid cells) are defined as large granular lymphocytes (LGL) and constitute the third kind of cells differentiated from the common lymphoid progenitor-generating B and T lymphocytes. NK cells are known to differentiate and mature in the bone marrow, lymph nodes, spleen, tonsils, and thymus, where they then enter into the circulation. NK cells differ from natural killer T cells (NKTs) phenotypically, by origin and by respective effector functions; often, NKT cell activity promotes NK cell activity by secreting interferon gamma. In contrast to NKT cells, NK cells do not express T-cell antigen receptors(TCR) or pan T marker CD3 or surface immunoglobulins (Ig) B cell receptors, but they usually express the surface markers CD16 (FcgRIII) and CD56 in humans",A
Fenestrated capillaries are present in:,Skin,Brain,Skeletal muscle,Small intestine,"Ans: D (Small intestine) Ref: Ganong's Review of Medical Physiology, 21st ed and Textbook of Medical Physiology, Indu Khurana, pg: 432Explanation:'in most endocrine glands, the intestinal villi, and parts of the kidneys, the cytoplasm of the endothelial cells is attenuated to form gaps called fenestrations. These fenestrations are 20-100 nm in diameter. They permit the passage of relatively large molecules and make the capillaries porous.' Ref: GanongType of Capillaries Continuous or SomaticFenestratedSinusoidalJunctions* Has tight junctions <10 -15 microns)* Has larger openings- circular pores (50 -100 nm)* Has largest openingsMovement of fluids and solutes* Fluid cannot diffuse easily* Solutes and fluids move with more ease than 'continuous type'* Solutes and fluids move freelyRemarks* Most common type seen in connective tissue* Seen where there rapid exchange of molecules between blood and organs* Most prevalent type* Seen in hematopoietic systemsLocation* Fat* Muscle* Brain* Connective tissue* Lung* Small intestinal wlii* Kidney* Endocrine glands* Choroid plexus* Liver* Bone marrow* SpleenSchematicrepresentation",D
The pa of the male urethra where the urethral crest is situated in is:,Penile urethra,Pre-prostatic urethra,Prostatic urethra,Membranous urethra,"The Urethral Crest is a midline, longitudinal, ridge like projection of mucosa which lies on the posterior wall of prostatic urethra.Ref: Clinical Anatomy By Richard S. Snell, 6th edition, Pages 327, 370; Clinical Anatomy (A Problem Solving Approach) By Neeta V Kulkarni, 2nd edition, Pages 791, 792.",C
In blood culture the ratio of blood to reagent is -,1:05,1:20,1:10,:100,Specifics for <a href=' and panels</a> are as follows: Specimen type - Whole blood Container - Culture bottles (one aerobic and one anaerobic) for blood and green-top tube (heparin) for fungus and mycobacteria (if warranted by clinical suspicion) Collection method - Venipuncture Specimen volume - Adults: 10-20 mL per culture set; Pediatric patients: 1.0-3.0 m The blood is inoculated into the bottle containing blood culture medium in the blood to the broth ratio of 1:10 .but in children where the amount of blood drawn is little a ratio of 1:5 may be achieved REF: MEDSCAPE,C
Salmonella typhi is the causative agent of typhoid fever. The infective dose of S. typhi is:,One bacillus,108 - 1010 bacilli,102 - 105 bacilli,1 - 10 bacilli,Ans. (c) 102 - 105 bacilli Infective dose of salmonella varies from 200 to 106 colony forming units and the ingested dose is an impoant determinant of incubation period Organism Infective dose Shigella 10 - 1000 Vibrio >1010 (if source of infection is water) 102- 104 (if source of infection is food) Campylobacter jejuni 104 Yersinia enterocolitica 108- 109 EHEC 10 - 100,C
Which of the following is not a contraindication for use of digitalis?,Acute rheumatic carditis,Thyrotoxicosis,WPW syndrome,Hyperkalemia,"Digitalis dried leaf of Digitalis purpurea; a cardiac glycoside. All drugs prepared from this digitalis leaf are members of the same group and principles of administration are the same, although they vary according to speed of action and potency. Digitalis in its many forms is one of the most frequently prescribed drugs in the United States. It can be very effective in treatment of cardiac conditions, but its therapeutic range is narrow; a therapeutic dose is only about one third less than the dose that will induce toxicity. Moreover, physiologic changes due to age, electrolyte disturbances, renal impairment, metabolic disorders, and ceain hea conditions can predispose a patient to digitalis toxicity. Other drugs can also alter the effects of digitalis and lead to toxicity. Signs of Toxicity. Traditionally, nurses have been taught to count the patient&;s pulse or monitor the apical heabeat for rate and rhythm before administering a digitalis preparation. A decreased pulse rate of 60 per minute or less is an indication that the drug should be temporarily discontinued. While this is the most typical sign of digitalis intoxication, there frequently are earlier symptoms that deserve attention. Some of the more common complaints expressed by patients who are in the early stages of toxicity are nausea, blurred vision, mental depression, disorientation, and malaise. Objective signs include vomiting, diarrhea, and confusion.Ref: Ganong&;s review of medical physiology, 23rd edition, Page no: 508",D
Apple peel bowel with loss of dorsal mesentry is a feature of which type of ileal atresia,Type 1,Type 2,Type 3,Type 4,Type 1- mucosal Web or diaphragm Type 2- with an atretic cord between two blind ends of bowel with intact mesentry Type 3a - complete seperation of blind ends of bowel by a V shaped mesenteric gap Type 3b- An apple peel or Christmas tree deformity with a large mesentric gap Type 4- multiple atresia with a string of sausage appearance Ref: Sabiston 20th edition Pgno : 1871,C
N. gonorrhea causes -,Urethritis,Salpingitis,Conjunctivitis,All,"Ans. is All-`a' i.e., Urethritis; 'b' i.e., Salpingitis; 'c' i.e., Cervicitis",D
A 14yr old girl on exposure to cold has pallor of exterimies followed by pain cyanosis.In later ages of life she is prone to develop,SLE,Scleroderma,Rheumatoid ahritis,Histiocytosis,"Ref Robbins 8/e p225;518; Harrison 18/e p2096,9/e p228- 229 Systemic sclerosis (SS) is an immunologic disorder characterized by excessive fibrosis in multiple tissues, obliterative vascular disease, and evidence of autoimmunity, mainly the production of multiple autoantibodies. It is commonly called scleroderma because the skin is a major target, but this disorder is better labeled 'systemic' because lesions are present throughout the body. Cutaneous involvement is the usual presenting manifestation and eventually appears in approximately 95% of cases, but it is the visceral involvement--of the gastrointestinal tract, lungs, kidneys, hea, and skeletal muscles--that is responsible for most of the related mor- bidity and moality. SS can be classified into two groups on the basis of its clinical course: * Diffuse scleroderma, characterized by initial widespread skin involvement, with rapid progression and early vis- ceral involvement * Limited scleroderma, with relatively mild skin involve- ment, often confined to the fingers and face. Involve- ment of the viscera occurs late, so the disease in these patients generally has a fairly benign course. This clini- cal presentation is also called the CREST syndrome because of its frequent features of calcinosis, Raynaud phenomenon, esophageal dysmotility, sclerodactyly, and telangiectasia.",B
True about atrioventricular groove are all EXCEPT,Contains left anterior descending coronary aery,Also called coronary sulcus,Contains right coronary aery,Contains circumflex branch of left coronary aery,AV groove is aka coronary sulcus & it separates the atria from the ventricles. It contains the RCA on the right & the circumflex branch of left coronary aery on the left.,A
Investigation of choice for detection of syphillis in a patient after 2 course of complete therapy,FTA ABS,VDRL,TPI,Dark ground microscopy,"Ans. is `b' i.e., VDRL To monitor the response to therapy non treponemal serological tests (RPR or VDRL) are used. Features of serological tests . Most senstive serological test in primary syphilis . First test to become positive . The test of choice for rapid serological diagnosis in a clinic or office setting . Tests for monitoring the responce of therapy . Testing of large number of sera for screening or diagnostic purpose . Tests for confirmation of the diagnosis . Measurment of Ig M in a neonate for congenital syphilis . The diagnostic test . Reagin antibodies tests (RPR and VDRL) becomes positive after 3-5 weeks of Infection (7-10 days after the appearance of primary chancre). In Lyme disease VDRL test is negative, but FTA-ABS may be positive. All serological tests may be positive (false positive) in non veneral treponematoses. eg in yaws, Pinta and endemic syphilis. . Presence of Ig M in a neonate confirms syphilis, as IgM can not cross placenta. But Ig G can be passively transfered from the infected mother to newborn. . Reagin antibody in syphilis is Ig G while reagin antibody in atopy (hypersensitivity reaction) is Ig E.",B
b - Lactam ring is present in,Erythromycin,Penicillin,Tetracyclins,Chloramphenicol,All penicillins have the basic structure. A thiazolidine ring (A) is attached to a b-lactam ring (B) that carries a secondary amino group (RNH-).Reference: Katzung&;s Pharmacology; 13th edition; Chapter 43; Beta-Lactam & Other Cell Wall- & Membrane-Active Antibiotics,B
Radiation exposure during infancy has been linked to which one of the following carcinoma,Breast,Melanoma,Thyroid,Lung,"Ref Robbins 8/e p312,425 and 9/e p325 The most radiosensitive organ sites in the children in order of sensitivity are the thyroid gland ,breasts, bone marrow,brain,skin. Radiation, whatever its source (UV rays of sunlight, x-rays, nuclear fission, radionuclides) is an established carcinogen. Unprotected miners of radioactive elements have a 10-fold increased incidence of lung cancers. Follow-up study of survivors of the atomic bombs dropped on Hiroshima and Nagasaki disclosed a markedly increased incidence of leukemia--principally myelogenous leukemias--after an average latent period of about 7 years, as well as increased moality rates for thyroid, breast, colon, and lung carcino- mas. The nuclear power accident at Chernobyl in the former Soviet Union continues to exact its toll in the form of high cancer incidence in the surrounding areas. More recently, it is feared that radiation release from a nuclear power plant in Japan damaged by a massive eahquake and tsunami will result in significantly increased cancer incidence in the surrounding geographic areas. Therapeutic irradiation of the head and neck can give rise to papillary thyroid cancers years later. The oncogenic propeies of ionizing radiation are related to its mutagenic effects; it causes chromosome breakage, translocations, and, less frequently, point mutations. Biologically, double- stranded DNA breaks seem to be the most impoant form of DNA damage caused by radiation. The oncogenic effect of UV rays merits special mention because it highlights the impoance of DNA repair in car- cinogenesis. Natural UV radiation derived from the sun can cause skin cancers (melanomas, squamous cell carcino- mas, and basal cell carcinomas). At greatest risk are fair- skinned people who live in locales such as Australia and New Zealand that receive a great deal of sunlight. Non- melanoma skin cancers are associated with total cumula- tive exposure to UV radiation, whereas melanomas are associated with intense intermittent exposure--as occurs with sunbathing. UV light has several biologic effects on cells. Of paicular relevance to carcinogenesis is the ability to damage DNA by forming pyrimidine dimers.",C
Not a component of Gram stain -,Methylene blue,Ethanol,Iodine,Gentian violet,"GRAM STAINING 1) Primary staining with a pararosaniline dye such as crystal violet, Methyl violet,or Gentian violet 2) Application of a dilute solution of iodine . 3) Decolourisation with an inorganic solvent such as ethanol,acetone,or aniline . 4) Counterstaining with a dye of contrasting colour such as carbol fuchsin,safranine or neutral red . REF:Ananthanarayan & Panicker's Textbook of Microbiology 8th Edition pg no :15",A
